,drama_name,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,time_per_ep,synopsis,actor_list
242,Sponsor,MBN Viki,['Kwak Gi Won'],['Park Gye Hyung'],2022-02-23,2022-04-06,"Wednesday, Thursday",2022,12,280.0,"A romance thriller between four men and women running like a runaway locomotive toward different desires, including success, revenge, children and love. Lee Sun Woo, is a photographer and editor at a magazine. He keeps a burning ambition and heartfelt desire for revenge hidden behind his warm exterior. Han Chae Rin is the CEO of a cosmetics company. She is greedy and ambitious despite her success. Park Da Som is a rising actress. She does anything for success. At the same time, she struggles to protect her son who has a rare disease. She’s internally struggling between motherhood and success, and despite her cold exterior, she truly loves her ill son. Hyun Seung Hoon, Park Da Som’s husband, is an aspiring model. His life goals are to overcome poverty and failures. He dreams of succeeding in life.(Source: Naver; Soompi)","['Lee Ji Hoon', 'Han Chae Young', 'Ji Yi Soo', 'Koo Ja Sung']"
243,Oh! Boarding House,Viki,['Park Eun Joo'],['Team Wol Pi Dong'],2022-02-22,2022-03-16,"Tuesday, Wednesday",2022,8,112.0,"Sul Won is an out-of-work young man whose mother runs a low-cost boarding house for students and men who don’t have enough money to buy or rent an apartment on their own. But when his mother suddenly goes on vacation, she leaves Sul Won in charge of the boarding house – becoming the de facto live-in landlord. The residents of the boarding house are a mixed bunch. They include a high school senior, who also happens to be Sul Won’s cousin. There is also Sul Won’s former college friend, as well as Kim Chun Seo, a high school teacher. Rounding out the number is a third-year university student who dreams of becoming a writer. As the young men spend more time together, a close bond of friendship begins to form in the house. But when Sul Won discovers that some of the tenants have begun to develop a crush on him, Cupid could well come calling!(Source: Viki, edited by MyDramaList)~~ Adapted from the webtoon ""Hasuk 5"" (하숙집 5번지) by Penguin (펭귄).","['Im Sung Kyun', 'Shin Yong Seok']"
244,Cinema Club,,,,2022-02-22,2022-04-20,Tuesday,2022,9,53.0,,
245,Tracer Season 2,MBC,['Lee Seung Young'],['Kim Hyun Jung'],"Feb 18, 2022","Feb 18, 2022",Friday,2022,8,525.0,"Dong Joo's journey to reveal the secrets behind his father's death continues. Tae Joon leads the NTS full of ambition. Dong Joo finds out that Tae Joon is related to his father's death and looks for additional evidence. Along with unlocking the secrets behind Dong Joo's father's death, Bureau Five continues to punish the tax evasion, secret funds, and corrupt trading of top officials in the country. Will Dong Joo and his teammates complete their journey in success?(Source: Viki)","['Yim Si Wan', 'Son Hyun Joo', 'Go Ah Sung', 'Park Yong Woo']"
246,Woof & Meow – Do you Love Me?,DRAMAcube,,['Kim Yoo Jung'],2022-02-18,2022-03-04,Friday,2022,10,102.0,"When it comes to love, Ha Joon is about the farthest thing from an expert that you can get. With almost no dating experience, the closest Ha Joon has ever gotten to having a long-term relationship is the one he has with his dog, Meongoo. Now in his twenties, Ha Joon is starting to feel that raising a dog is great, but it would be nice to have an actual human by his side.Terrified of going through his entire twenties without a proper relationship, Ha Joon agrees to visit a dating consultation company with some of his college friends. While there, Ha Joon finds himself crossing paths with Do Hee, a pretty young lady who looks exactly like his first love. Incredibly unlucky when it comes to love, Do Hee's only true companion is her cat Anna. Even so, Do Hee refuses to give up on love.Bonding over their mutual affection for their pets, Ha Joon and Do Hee find themselves drawing even closer, but is that one connection enough to spark love's eternal flame?(Source: Viki)","['Cha Hun', 'Yoon Chae Kyung', 'Joo Jong Hyuk', 'Park So Eun']"
247,I Have Not Done My Best Yet,TVING,['Im Tae Woo'],"['Park Eun Young', 'Park Hee Kwon']",2022-02-18,2022-03-25,Friday,2022,12,300.0,"Nam Geum Pil is a man in his 40's and he lives with his father and daughter. Out of the blue, he decides to quit his job. He receives criticism from his family, but he doesn't care. He freeloads from his friend when he wants to drink alcohol. Meanwhile, Nam Geum Pil becomes aware of a male neighbor who looks like an unemployed man, but he actually makes a lot of money as a webcomic writer. Nam Geum Pil then decides to become a comic writer.(Source: AsianWiki)~~ Adapted from the manga series ""Ore Wa Mada Honki Dashitenai Dake"" (俺はまだ本気出してないだけ) by Shunju Aono (青野春秋).","['Park Jung Yeon', 'Kim Gab Soo', 'Park Hae Joon']"
248,Thirty-Nine,jTBC Netflix,['Kim Sang Ho'],['Yoo Young Ah'],2022-02-16,2022-03-31,"Wednesday, Thursday",2022,12,390.0,"Leaning on each other through thick and thin, a trio of best friends stand together as they experience life, love and loss on the brink of turning 40.Cha Mi Jo is the head dermatologist of a clinic in Gangnam. She is a warm character who grew up in a wealthy environment with a caring family and everything she could wish for.Jung Chan Young dreamed of becoming an actress but ended up becoming an acting teacher instead. Although her way of speaking may seem blunt and harsh, the sincerity in her words makes her a character impossible to hate.Jang Joo Hee is a department store cosmetics manager. Due to her timid personality, she has yet to really experience a romantic relationship.(Source: Netflix, Soompi)","['Kim Ji Hyun', 'Son Ye Jin', 'Jeon Mi Do']"
249,Grid,Disney+ Hulu,['Lee Khan'],['Lee Soo Yeon'],2022-02-16,2022-04-20,Wednesday,2022,10,360.0,"Earth has survived catastrophic solar winds under the protection of the Grid, its planetary defense shield. Kim Sae Ha, a Bureau employee, encounters a murderer. Jung Sae Byeok, a detective, is dispatched to arrest the murderer. While in pursuit of the fugitive, she witnesses an unbelievable phenomenon: the founder of the Grid - a ghost from the past - has reappeared after 24 years. But why is she abetting the fugitive? This is a thriller that pursues the mysterious truth behind what saved humanity from an apocalypse.(Source: Disney+)","['Kim Sung Kyun', 'Lee Si Young', 'Kim Mu Yeol', 'Seo Kang Joon', 'Kim Ah Joong']"
250,Semantic Error,,['Kim Soo Jung'],['Jason'],2022-02-16,2022-03-10,"Wednesday, Thursday",2022,8,188.0,"Chu Sang Woo is a junior computer science majoring student who prizes reason, rules, and a rigid sense of what is right above all else. As part of his university work, he is told to work on a group project for the liberal arts, whereby the group is required to make a final presentation in order to pass the module. But as the rest of the group – whom he knows nothing about – have decided to leave him to do all the work on his own, he decides to remove their names, and make the presentation in his name.But little did he know that when he did this, he would deal a heavy blow to the academic prospects of a senior student named Jang Jae Young. The latter, a design major, is Chu Sang Woo’s polar opposite. He is stylish, fun-loving, and – above all – extraordinarily popular. He is the closest thing the college has to a superstar! But when his credit for the liberal arts project is taken away, his grand plans to study abroad are suddenly thrown up in the air. He seeks out Chu Sang Woo and is of a mind to torment him. But when the duo is forced to work together, a strange attraction starts to develop between them…(Source: Viki)~~ Adapted from the web novel ""Semantic Error"" (시맨틱 에러) by Jeo Soo Ri (저수리).","['Park Seo Ham', 'Park Jae Chan']"
251,Twenty-Five Twenty-One,Netflix tvN,"['Jung Ji Hyun', 'Kim Seung Ho']",['Kwon Do Eun'],2022-02-12,2022-04-03,"Saturday, Sunday",2022,16,281.0,"In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life.Na Hee Do is a member of her high school fencing team. Due to the South Korean financial crisis, the high school fencing team gets disbanded. Getting through all the difficulties, she becomes a member of the national fencing team.The South Korean financial crisis also causes Baek Yi Jin’s father's business to go bankrupt. This leads to a life change for Baek Yi Jin, from living the life of a wealthy person to a poor person. While studying, he works part-time jobs like delivering newspapers. Later, he becomes a sports reporter for a broadcasting network.(Source: Netflix, AsianWiki)","['Kim Tae Ri', 'Bona', 'Choi Hyun Wook', 'Nam Joo Hyuk', 'Lee Joo Myung']"
252,Forecasting Love and Weather,jTBC Netflix,['Cha Young Hoon'],['Sun Young'],2022-02-12,2022-04-03,"Saturday, Sunday",2022,16,262.0,"A romance drama about the work and love in the office of National Weather Service, hotter than tropical nights and more unpredictable than localized heavy rains.Jin Ha Kyung is an intelligent and highly organized individual who does everything by the book and is fastidious about keeping her personal and professional lives separate. Due to her cold demeanor, she has few friends at work and has become an “outsider by choice.”Lee Shi Woo is a free spirit who is always thinking outside the box. Although he can appear clumsy, he boasts an impressive IQ of 150 and is able to achieve anything once he sets his mind to it. However, in spite of his intelligence and abilities, all he cares about is the weather.Han Ki Joon is a handsome and quick-witted character with a silver tongue. Using his formidable powers of persuasion, Han Ki Joon eventually gets scouted by the spokesperson's office after struggling in the early days of his career at the service. However, because he has lived his entire life as a model student, he has a hard time dealing with failure.Chae Yoo Jin is a daily weather reporter. Although she went into her job with lofty dreams of breaking news, exciting scoops, and on-site reports, Chae Yoo Jin was ultimately assigned to the “weather and lifestyle team.” While she was initially disappointed by the assignment, she eventually comes to grow fond of her job.(Source: JTBC studios, Soompi)","['Yoon Park', 'Park Min Young', 'Song Kang', 'Yura']"
253,Civil Service Exam Student,,,,2022-02-11,2022-04-01,Friday,2022,8,112.0,"Wisdom and decision-making time for Su Jung and Ji Hye, who has been preparing for their civil service exam for three years. This is the story of two women who are at a crossroads between a promiseless challenge or a hopeless abandonment(Source: Hobby-preneu 하비프러너 오리지널 YouTube) ",
254,First Love Again,KBS2,['Yoon Chang Bum'],['Park Pil Joo'],2016-11-28,2017-04-21,"Monday, Tuesday, Wednesday, Thursday, Friday",2016,104,20.0,"Lee Ha-Jin and Cha Do-Yoon were deeply in love and planned to marry, but, because of circumstances standing in their way, she broke up with him cruelly. Eight years later the two of them meet again. Ha Jin has ""erased"" memories of her first love and is now enthusiastic about cooking. On the contrary, Do Yoon is still trapped in the past, full of vengeance and hatred toward her. To complicate matters, enter Jeong Woo, a good man with ulterior motives, and Min Hee, an evil woman who will do anything to stay on top and in her mother's graces","['Myung Se Bin', 'Kim Seung Soo', 'Park Jung Chul', 'Wang Bit Na']"
255,Kissable Lips,,['Yang Kyung Hee'],['Lee Yeon Joo'],2022-02-03,2022-02-25,"Thursday, Friday",2022,8,82.0,"A sweet and bloody campus romance between Jun Ho, a vampire who is walking the path of extinction, and Min Hyun, a human with pure blood.Jun Ho is a vampire who is about to die. To survive, he will need to drink pure blood and thus become a human. One day, while searching for this pure blood, he meets Min Hyun, a human with pure blood. But another vampire named Hae Soo, who knows about Jun Ho's past traumas, causes Min Hyun and Jun Ho to fall out.Living a normal life as a human and protecting Min Hyun, what will Jun Ho have to face?(Source: BLUPDATE2022 on Twitter, boyslovetv on Instagram)","['Kim Ji Woong', 'Yoon Seo Bin']"
256,Do You Want to Eat?,MBC,,,2022-01-30,2022-03-06,Monday,2022,6,170.0,Tells the story of three generations of families gathered in one place on the occasion of a ritual to heal the conflicts and trials that each one is experiencing with food and love. ,"['Lee Eun Hyung', 'Jung Ae Ri', 'Go In Beom', 'Ji Seung Hyun', 'Ok Go Woon', 'Seo Eun Ah']"
257,All of Us Are Dead,Netflix,['Lee Jae Gyoo'],['Chun Sung Il'],"Jan 28, 2022","Jan 28, 2022",Friday,2022,12,310.0,"A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.(Source: Netflix)~~ Adapted from the webtoon ""All of Us Are Dead"" (지금 우리 학교는) by Joo Dong Geun (주동근). ","['Yoon Chan Young', 'Lomon', 'Park Ji Hu', 'Cho Yi Hyun']"
258,Rookie Cops,Disney+ Hulu,"['Kim Byung Soo', 'Kim Jung Wook']",['Lee Ha Na'],2022-01-26,2022-03-16,Wednesday,2022,16,225.0,"A coming-of-age story that captures the spirit, challenges and passion of youth as two students at the Korean National Police University experience life's charms and traumas whilst trying to become full-fledged cops. From bridging generation gaps with harmony to finding their own romance on campus, two very different students work to achieve their dreams and aspirations in the line of duty.(Source: Disney+) ","['Chae Soo Bin', 'Kang Daniel']"
259,Yeokkeuni Season 3,,,,2022-01-25,2023-02-23,Tuesday,2022,7,137.0,,
260,Color Rush Season 2,LINE TV Viki,,,"Jan 21, 2022","Jan 21, 2022",Friday,2022,8,112.0,"Choi Yeon Woo is a high school student and a “mono” – a person who sees the world only in a dull and lifeless black and white. But for every mono, there is a “probe” – a kind of soulmate who allows the mono to see the world in vivid color. Yeon Woo’s probe was a boy named Yoo Han, and the two developed a beautiful friendship that blossomed into romance. But as their relationship intensified, mysterious goings-on suddenly got very unpleasant for Yeon Woo, who eventually found that Yoo Han had disappeared, with his mother also vanishing.Yeon Woo vows to do whatever it takes to track down his “probe” and his mother. A classmate named Se Hyun learns of Yeon Woo’s quest and resolves to help and protect him – as a close friendship develops between the two students. But Se Hyun hides a secret, and Yeon Woo could be about to discover the truth… Meanwhile, Yeon Woo is not alone – other monos are nearer than he might think, including a female mono who is looking for her own probe. And a TV producer is also on the scene, hoping to get to the bottom of the mono-probe mystery!(Source: Viki)~~ Adapted from the web novel ""Color Rush"" (컬러 러쉬) by Se Sang (세상).","['Yoo Jun', 'Hyuk']"
261,Dr. Park’s Clinic,TVING,,,2022-01-14,2022-02-18,"Friday, Saturday",2022,12,140.0,"Dr. Park Won Jang recently opened his own internal medicine clinic. His goal is to become acknowledged as a skilled physician and make a lot of money in the process. He thought that if he opened his own clinic, the money would soon roll in. Reality is a little different for Park Won Jang. His clinic receives very few patients and it is teetering on insolvency. He struggles to save his clinic. Making things worse, he also suffers from hair loss. Meanwhile, Park Won Jang is married to Sa Mo Rim. His wife trusts the advice of medical TV programs more than her husband.(Source: AsianWiki)~~ Adapted from the webtoon ""Internal Medicine Physician Park Won Jang"" (내과 박원장) by Jang Bong Soo (장봉수).","['Ra Mi Ran', 'Lee Seo Jin']"
262,Through the Darkness,SBS,"['Kim Jae Hong', 'Park Bo Ram']","['Seol Yi Na', 'Kwon Il Yong']",2022-01-14,2022-03-12,"Friday, Saturday",2022,12,350.0,"Back in the 1990s, the citizens of Seoul were gripped with a paralyzing fear after a series of brutal attacks and murders occurred. A mysterious figure dubbed ‘Red Cap’ was stalking women on the streets then killing his prey, seemingly without provocation. His habit of striking at random made it impossible for the detectives to predict his next move. At the top of their minds is what could be triggering him. Aware of the American F.B.I. and its successful use of criminal profilers to identify serial killers, the head of the Criminal Behavioral Analysis team, Gook Young Soo recruits Song Ha Young, a quiet, reserved, incredibly perceptive former detective for his team. Gook believes using this new psychological method will give the police an edge in capturing 'Red Cap' and ending his killing spree. Homicide expert Yoon Tae Goo and her officers question the value of this approach and are resistant to entering such uncharted territory. To quell their scorn they need to convince that this radical crime-fighting approach will increase their arrest rates. Does Song Ha Young have the ability to gain the trust of callous criminals while seeing through them? Is he clever enough to outwit them?  But more importantly, does he possess the emotional fortitude to withstand the process? (Source: Viki; edited by Lee C)~~ Adapted from the autobiography of the same title, co-written by Korea's first criminal profiler, Kwon Il Yong and journalist-turned-author Ko Na Mu, depicting some of Kwon's field experiences.","['Jin Seon Kyu', 'Kim Nam Gil', 'Kim So Jin']"
263,"No, Thank You Season 2",Daum Kakao TV,['Lee Kwang Young'],,2022-01-08,2022-03-26,Saturday,2022,12,100.0,"Min Sa Rin has adapted herself to the role of a daughter-in-law and her life is going relatively smoothly. She gets involved in an unexpected case.(Source: Asianwiki)~~ Adapted from the webcomic ""Myeoneuragi"" (며느라기) by Soo Shin Ji (수신지). ","['Kwon Yool', 'Park Ha Sun', 'Moon Hee Kyung', 'Kim Jong Goo']"
264,The Best Day,,,,2022-01-07,2022-02-04,,2022,5,120.0,,
265,Tracer,MBC,['Lee Seung Young'],['Kim Hyun Jung'],2022-01-07,2022-01-29,"Friday, Saturday",2022,8,450.0,"Hwang Dong Joo is the chief of taxation division 5 at the National Tax Service. He works hard to trace money that is hidden from the tax service. His team includes Seo Hye Young, who has a bright personality, and his boss is Oh Young.Meanwhile, In Tae Joon is the director of a regional tax office. He is an ambitious man who has earned his way to the top through corrupt and illegal actions, all the while maintaining his cocky attitude.(Source: AsianWiki, Soompi)","['Yim Si Wan', 'Son Hyun Joo', 'Go Ah Sung', 'Park Yong Woo']"
266,You & It,,,,2022-01-05,2022-01-28,"Wednesday, Friday",2022,8,60.0,"""My dead girlfriend is back as an AI robot""A story to be honest in front of love and longing.(Source: Gamsung Click YouTube Channel) ","['Park Eun Woo', 'Park Sung Woo']"
267,I'm Done,,,['Kim Sa Ra'],2022-01-04,2022-01-21,"Tuesday, Friday",2022,6,90.0,"It is a web drama that empathizes with the reality of college life in the era of Corona 19, depicting the story of college life transformed into a 'Zoom' image that any college student in their early 20s can relate to.(Source: Naver) ","['Jeong Soo Hyun', 'Min Chae Eun', 'Park Ye Jin', 'Yoon Do Gun', 'Son Bo Seung']"
268,Ghost Doctor,tvN,['Boo Sung Chul'],['Kim Eun Hee'],2022-01-03,2022-02-22,"Monday, Tuesday",2022,16,262.0,"Cha Young Min is a genius doctor, with excelling skills at surgery, but he is arrogant and selfish. One day, he gets involved in an accident and due to this, his spirit possesses another doctor's body, Seung Tak. These two doctors are complete opposites, with opposite personalities and medical abilities.Young Min is arrogant and cold-blooded, only cares about his career and doesn't care about any of his patient's personal stories. Seung Tak is the luckiest and richest resident doctor whose grandfather is the founder of Myung-shin hospital and whose mother is the chairman of the hospital. Never wanting to be a good doctor, he becomes possessed by a ghost doctor.  (Source: AsianWiki, CJ ENM)","['Kim Bum', 'Son Na Eun', 'Rain', 'Uee']"
269,Her Bucket List,Daum Kakao TV,,,"Dec 31, 2021","Dec 31, 2021",Friday,2021,10,120.0,"Very much in love with her boyfriend, Cha Ra Ri is devastated when she learns that he has unexpectedly passed away. Unsure how she can ever find the strength to go on living without him, Ra Ri decides to follow her boyfriend in death. But the discovery of a bucket list, which she had written with him ages ago, inspires her to hold off on death for just a while longer. Determined to fulfill every item of their shared bucket list, Ra Ri sets out to do just that. As she begins checking items off their list, she crosses paths with Kang Hansol, an idol trainee with great potential but terrible stage fright. Brought together by fate, Ra Ri and Hansol begin completing items on her bucket list together, their time together giving them the strength to hold on, just a while longer.Working their way through the list, Ra Ri and Hansol begin to realize there are unexpected feelings growing between them. Drawing ever closer, the pain they’ve both endured slowly begins to fade. Will their newfound feelings give them the strength they need to continue living despite everything?(Source: Viki)~~ Adapted from a webtoon of the same name.","['Na In Woo', 'Kim So Hye', 'Kim Woo Rin', 'Lim Se Jun']"
270,The Man's Voice,iQiyi Viki,,['Kim Kyung Hee'],"Dec 30, 2021","Dec 30, 2021",Thursday,2021,8,225.0,"A fantasy rom-com about a convenience store part-timer who is searching for a full-time job, a handsome pilot, and his pet cat. The drama tells the story that unfolds when the shy female lead gains the ability to communicate with a cat she coincidentally meets and comes to make some sort of deal with the prickly cat. Baek Tae Hwa is the cat’s owner and an airline co-pilot. He has a good background and handsome looks that would make anyone fall for him. Due to his naturally sweet personality, Baek Tae Hwa has often made women cry without meaning to. The pet hotel he uses suddenly closes before his flight one day, so Baek Tae Hwa ends up entrusting his pet with a woman. Go Mi Rim has an ordinary background and is optimistic by nature. She works part-time at a convenience store while looking for a full-time job. Go Mi Rim agrees to take care of the cat owned by her one-sided love interest, but she starts to hear the cat’s voice after being hit by lightning, setting up the plot for an interesting romance to unfold.(Source: iQiyi)","['Choi  Tae Joon', 'Song Ji Eun', 'Sung Ji Ru']"
271,Behind Cut,,['Han Woo Im'],,2021-12-28,2022-01-19,"Tuesday, Wednesday",2021,8,112.0,"Ki Jin is a budding fashion design student who dreams big: He wants to become a world-famous clothing designer. But the journey to the top of South Korea’s fashion tree is not an easy one, and he is struggling to find the right path. One day, on the street, he bumps into Yeong Woo, an ever-optimistic part-time delivery worker. Even though it seems everyone he knows has formulated a grand plan about how their future will unfurl, Yeong Woo doesn’t have a dream. While all others are in a rush to get somewhere in life, it seems that his own life is stuck in first gear.Although things have got off to a decidedly shaky start for Ki Jin and Yeong Woo, they start to develop a fondness for one another, and start to wonder if their seemingly opposing blend of determinedness and acceptance could be a case of “opposites attract.” But when a leading model named Lee Bin arrives on the scene, things get complicated. He starts to develop a crush on Ki Jin. Could this development spell the end for the fledgling romance between Ki Jin and Yeong Woo?(Source: Viki)","['Bum Jun', 'Eom Se Ung']"
272,Time of Memory,,,,2021-12-28,2022-01-01,,2021,20,30.0,"On the outside it may seem like Jung Woo Jin has everything a person could ever possibly want. With his natural talent, unparalleled looks, and a quick wit, he has become the nation’s fastest rising star. Whatever he touches is guaranteed to become the next big hit, making Woo Jin something of a national phenomenon. But behind this glittering exterior there lies a deeply hidden secret. Afflicted by a disease which makes him remember everything, Woo Jin is constantly bombarded by memories and emotions from the past.Unable to escape the moments in his life he’d give anything to be able to forget, Woo Jin lives in a hellish nightmare that stretches on forever. Unable to escape the past, Woo Jin is intrigued when he happens to cross paths with a woman who seems to be afflicted with an unusual condition of her own. Unable to remember anything that happened more than a month ago, Do Hae Soo lives her life from one moment to the next. With no way to remember anything that has happened in the past, Hae Soo has no choice but to live her life constantly moving forward. Intrigued by a woman who can’t ever seem to remember him, Woo Jin finds himself wanting to know more about her. Finding ways to be near her, Woo Jin and Hae Soo draw ever closer; but what future could they possibly have together when she never remembers and he never forgets?(Source: Viki)","['Lee Sung Yeol', 'Yoo Bin']"
273,Best Mistake Season 3,vLive,,,2021-12-27,2022-02-17,"Tuesday, Thursday",2021,16,94.0,"The new season will take place in a college setting, showing the growth and romance of young people as they prepare to enter the real world.","['Yoon Hyun Suk', 'Kang Hye Won', 'Lee Eun Jae', 'Kang Yul', 'Kim Won Pil']"
274,Love & Wish,Daum Kakao TV,,['Han Yoon Sun'],2021-12-24,2021-12-25,"Friday, Saturday",2021,9,107.0,"Son Da Eun, 17, is the youngest of three sisters. From an early age, she and her sisters would spend their time reading romance-themed comics and novels, and Son Da Eun would spend her nights dreaming of finding true love. Her family moves to the South Korean capital, Seoul, and she finds herself living next door to a handsome high schooler named Kim Seung Hyu. He is charming and attractive, and she feels that perhaps he might be her first true love.When she discovers that Kim Seung Hyu is actually her new classmate at the high school, she has just transferred to, and everything seems to be falling into place. Surely, she thinks, this is fate, and nothing could stand in the way of love now. But as she starts to get to know him better and settles into life at her new school, she realizes that he is holding something back from her: He has been the victim of cruel and vindictive school bullying that has left him emotionally vulnerable. Can love conquer all, or will the demons of his past derail their fledgling romance?(Source: Viki)~~ Adapted from the webtoon series ""Love & Wish"" (러브 앤 위시) written and illustrated by Inae.","['Choi Ye Bin', 'Choi Young Jae', 'Yoo Jae Sang']"
275,The Silent Sea,Netflix,['Choi Hang Yong'],['Park Eun Kyo'],"Dec 24, 2021","Dec 24, 2021",Friday,2021,8,375.0,"Set in the future, when the planet suffers from a lack of water and food caused by desertification. Yoon Jae is a soldier for the space agency. He is selected for a team, including Ji An, to travel to the moon. A scientist joins the mission to recover mysterious samples from an abandoned lunar space station, where an accident killed everyone including her sister.(Source: AsianWiki; Netflix) ","['Lee Joon', 'Bae Doo Na', 'Gong Yoo']"
276,Tinted With You,Viki,['Ra Ha Na'],,2021-12-23,2022-01-14,"Thursday, Friday",2021,8,90.0,"In Korea’s feudal past, deposed Crown Prince Lee Heon was forced into exile when his cruel older brother usurped the throne. His sibling plans to permanently secure his position, leaving Lee Heon fearing for his life at every turn.  Lee Heon has one ally, Geum, his loyal, kind-hearted guard. Flash forward to the modern-day, where art is high school student Eun Ho’s entire world. He accepts a commission to complete an unfinished canvas despite its mysterious vibe. Inexplicably drawn into the distant past, he meets Lee Heon, with whom he forms a close and romantic bond. Becoming restless, the acting king desires to murder the exiled Crown Prince. Eun Ho now understands that he may be Lee Heon’s best – if not sole – chance of survival.(Source: Viki)","['Jun', 'Yoo Hyun Woo']"
277,Moonshine,KBS2,['Hwang In Hyuk'],['Kim Joo Hee'],2021-12-20,2022-02-22,"Monday, Tuesday",2021,16,262.0,"An extended period of prohibition in the Joseon era proved that the restriction of alcohol was no match for human desire.Laws against imbibing, buying or making alcohol created different challenges for these inhabitants: Inspector Nam Young from The Office of the Inspector-General who left his hometown to achieve fame in Hanyang and restore his family status; Kang Ro Seo, the aristocratic but impoverished lady who makes moonshine to reduce her debt, allowing her to continue buying her mother’s medication and her brother’s books; and even Crown Prince Lee Pyo, who was prone to scaling the palace walls in search of a tipple. This trio has a fateful encounter leading to the discovery of a hidden stash of alcohol. Revealing this secret would only result in certain death.","['Kang Mi Na', 'Lee Hye Ri', 'Yoo Seung Ho', 'Byeon Woo Seok']"
278,The One and Only,jTBC,['Oh Hyun Jong'],['Moon Jung Min'],2021-12-20,2022-02-08,"Monday, Tuesday",2021,16,262.0,"When Pyo In Sook was a child, her parents abandoned her with her grandmother who raised her. Her life has never been easy or comfortable. She now works at a public bathhouse scrubbing customer's bodies. Her defense mechanism is to not express her feelings to other people. One day, a doctor tells her she has a terminal illness and will die soon. Even coming face-to-face with her own mortality, In Sook remains emotionless. She begins receiving care at a hospice and meets two women with lives very different from her own: Seong Mi Do, a social media influencer, and Kang Se Yeon, an ordinary housewife who feels lonely and taken for granted. One rainy day, In Sook meets Min Woo Cheon, a contract killer who works at a private detective office. Woo Cheon's cool exterior masks a deep sadness. Each of the three women decides to end the life of one person who has done them wrong before they die, but in becoming friends, their anger begins to subside. When In Sook and Woo Cheon develop feelings for each other, though, she begins to rethink her plans.(Source: VIKI, AsianWiki)","['Ahn Eun Jin', 'Joy', 'Kim Kyung Nam', 'Kang Ye Won']"
279,Wanna Sleepover Season 2,,,,2021-12-19,2022-02-13,Sunday,2021,9,67.0,,"['Seo Hye Lin', 'Kim Dong Woo']"
280,Bulgasal: Immortal Souls,Netflix tvN,['Jang Young Woo'],"['Seo Jae Won', 'Kwon So Ra']",2021-12-18,2022-02-06,"Saturday, Sunday",2021,16,281.0,"The series tells the story of a man-turned-immortal, Bulgasal, who wants revenge from a woman with a mysterious past and present, who he deems responsible for his immortality and miseries from the past 600 years, hoping to free himself from his curse. (Source: IMDb) ","['Gong Seung Yeon', 'Lee Jin Wook', 'Lee Joon', 'Kwon Na Ra']"
281,Snowdrop,jTBC,['Jo Hyun Taek'],['Yoo Hyun Mi'],2021-12-18,2022-01-30,"Saturday, Sunday",2021,16,338.0,"In 1987, a bloody man jumps into a women’s university dormitory in Seoul. Young Ro, a female university student who falls in love with him at first sight on a group blind date, takes care of him despite the strict surveillance and dangerous situation. However, Young Ro is shocked to learn his secret. Despite heartbreakingly watching over his first love Young Ro, Soo Ho has no choice but to move according to the command in order to save his teammates and to go back to his home country where his sibling awaits. Young Ro rejects the will of her father and works hand in hand with Soo Ho to save her beloved man and her friends. What will happen to their fate?(Source: Disney+)~~ Adapted from the handwritten journal of a North Korean defector.","['Jung Hae In', 'Yoo In Na', 'Jang Seung Jo', 'Kim Ji Soo', 'Yoon Se Ah', 'Kim Hye Yoon']"
282,To.Two,,,,"Dec 17, 2021","Dec 17, 2021",Friday,2021,8,112.0,To.two is an extremely popular social media app with a catch; you can only get in based on invite. This web drama explores how this app creates social barriers between the students based on who can access the invite.(Source: nini at MyDramaList) ,"['Lee So Hee', 'Cha Yoo Jin']"
283,I Want to Live an Easy Life,SBS,['Go Hyun Gook'],['Oh Ji Hyun'],"Dec 17, 2021","Dec 17, 2021",Friday,2021,5,312.0,"The story of four candid and brazen girlfriends in their 30s who want to be rich but do not like to work hard, are comfortable with being alone but do not like being lonely, and want to live roughly but cannot live roughly.(Source: Korean = Naver || Translation = MyDramaList)~~ Adapted from the webtoon ""Daechung Salgo Sipseubnida"" (대충 살고 싶습니다) by Hyun Lee (현이씨). ","['Go Eun Ah', 'Heo Young Ji', 'Lee Mi So', 'Son Soo Ah']"
284,Pumpkin Time,Daum Kakao TV,['Kang Min Gu'],,2021-12-17,2021-12-18,"Friday, Saturday",2021,10,120.0,"Growing up, Kang Tae Joo and Shin Hae Won were practically inseparable. The best of friends, the two elementary school boys shared a fanatic love of baseball and enjoyed nothing more than spending their time utterly immersed in the game. Though Tae Joo and Hae Won believed they would be together forever, fate decided it had other plans. After his parents announce he is moving to the United States, Tae Joo has no choice but to say goodbye to Hae Won. Despondent over being forced to leave his best friend behind, Tae Joo is determined to someday see Hae Won again. As the years pass, Tae Joo never gives up hope of being reunited with his childhood friend. As suddenly as he once had to say goodbye, Tae Joo now finds himself back in Korea where he wastes no time in searching for his best friend. Tracking Hae Won down, Tae Joo is shocked beyond words to discover that his childhood best friend is now a high school girl! Will this unexpected switch change their relationship forever?(Source: Viki)~~ Adapted from the webtoon ""Pumpkin Time"" (펌킨타임) by Gaedarae (개다래).","['Lee Soo Min', 'Shin Hyun Seung']"
