actor_name,drama_num
Cha Joo Young,1
Kim Su Hyun,2
Lee Hee Joon,2
Park Ho San,2
Ong Seong Wu,3
Jun Ji Hyun,2
Joo Ji Hoon,6
Jang Eui Soo,3
Lee Chan Hyung,1
Han So Hee,4
Go Hyun Jung,4
Bae Yoon Kyung,1
Choi Byung Chan,2
Han Da Gam,2
Han Sang Jin,2
Shim Ji Ho,3
Park Yeon Ah,1
Lee So E,1
Ma Hyun Ji,1
Jung Su Bin,1
Oh Jae Woong,1
Shin So Hyun,1
Choi Ji Su,2
Ji Hyun Woo,8
Kang Eun Tak,5
Yoo Jae Myung,5
Han Ye Ri,7
Uhm Tae Goo,2
Hwang Hee,2
Lee Ha Nee,5
Park Ha Sun,4
Lee Jung Jae,3
Jung Ho Yeon,1
Cho Yeo Jung,6
Kim Jee Soo,4
Park Se Jin,1
Gong Hyun Joo,2
Ryu Joon Yeol,3
Kim Yoo Jung,6
Gong Myung,5
Kim Seon Ho,7
Ji Jin Hee,7
Kim Hye Eun,2
Kim Bo Ra,3
Kim Hong Pa,1
Kim Sae Ron,4
Nam  Da Reum,2
Yang Hong Seok,1
Song Ji Hyo,5
Jung Yoo Min,1
Choi Myung Gil,4
So Yi Hyun,3
Shin Jung Yoon,1
Nam Gyu Ri,4
Kim Min Jung,5
Go Woo Jin,1
Lee Sae On,1
Choe Chan Yi,1
Kim Ga Eun,5
Jung Jae Young,5
Yang Hye Ji,2
Lee Yeol Eum,4
Lee Shi Ah,1
Han Hyun Min,2
Park Se Wan,4
Choi Young Jae,1
Shin Hyun Seung,1
Minnie,1
Terris Brown,1
Jo Jung Suk,6
Kim Dae Myung,2
Park Ji Hoon,3
Lee Tae Gon,2
Jeon Noh Min,2
Eugene,4
Go Sung Min,1
Min Chan Ki,2
Lee Il Hwa,3
Han Seung Yeon,5
Tang Jun Sang,2
Son Sang Yeon,1
Kim Kang Hoon,1
Kim Do Wan,1
Hong Seung Hee,1
Shin Do Hyun,2
Park Bo Young,4
Jung Ji So,2
Jeong Yun Ho,1
Go Min Si,3
Lee Joon Hyuk,9
Yeon Woo Jin,7
Ryu Hye Young,2
Kim Myung Min,3
Choi Jung Yoon,1
Ahn Jae Mo,3
Bae Seul Gi,1
Park Hyung Joon,1
Sean Richard,2
Liv Hewson,2
Justin Chon,2
Henry Lau,1
Brett Gray,1
Im Na Young,1
Kwon Hyun Bin,2
