actor_eng,actor_kor,gender,birth
Kang Hui,"강희
",0.0,"November 19, 1991"
Lee Ji Hoon,이지훈,0.0,"October 29, 1988"
Han Chae Young,한채영,1.0,"September 13, 1980"
Ji Yi Soo,지이수,1.0,"October 26, 1991"
Koo Ja Sung,구자성,0.0,"September 22, 1992"
Im Sung Kyun,임,0.0,"March 20, 1996"
Shin Yong Seok,신,0.0,"October 11, 1996"
Go Ah Sung,고아성,1.0,"August 10, 1992"
Park Yong Woo,박용우,0.0,"March 16, 1971"
Yoon Chae Kyung,윤채경,1.0,"July 7, 1996"
Joo Jong Hyuk,주종혁,0.0,"July 27, 1991"
Park So Eun,박소은,1.0,"November 15, 1993"
Kim Gab Soo,김갑수,0.0,"April 7, 1957"
Park Hae Joon,박상우,0.0,"June 14, 1976"
Kim Ji Hyun,김지현,1.0,"January 2, 1982"
Son Ye Jin,손예진,1.0,"January 11, 1982"
Jeon Mi Do,전미도,1.0,"August 4, 1982"
Seo Kang Joon,서강준,0.0,"October 12, 1993"
Kim Ah Joong,김아중,1.0,"October 16, 1982"
Park Seo Ham,박서함,0.0,"October 28, 1993"
Park Jae Chan,박재찬,0.0,"December 6, 2001"
Nam Joo Hyuk,남주혁,0.0,"February 22, 1994"
Lee Joo Myung,이주명,1.0,"December 1, 1993"
Song Kang,"송강
",0.0,"April 23, 1994"
Yura,"유라
",1.0,"November 6, 1992"
Park Jung Chul,박정철,0.0,"November 5, 1976"
Wang Bit Na,왕빛나,1.0,"April 15, 1981"
Jung Ae Ri,정애리,1.0,"September 13, 1960"
Go In Beom,고인범,0.0,"October 5, 1959"
Ji Seung Hyun,지승현,0.0,"December 19, 1981"
Ok Go Woon,옥고운,1.0,"October 13, 1980"
Seo Eun Ah,서은아,1.0,"February 26, 1989"
Cho Yi Hyun,조이현,1.0,"December 8, 1999"
Kang Daniel,강다니,0.0,"December 10, 1996"
Yoo Jun,"유준
",0.0,"April 15, 2000"
Hyuk,"혁
A",0.0,"July 5, 1995"
Kim So Jin,김소진,1.0,"December 12, 1979"
Park Ha Sun,박하선,1.0,"October 22, 1987"
Moon Hee Kyung,문희경,1.0,"September 23, 1965"
Kim Jong Goo,김종구,0.0,"June 8, 1955"
Park Eun Woo,박은우,1.0,"June 30, 2000"
Park Sung Woo,박성우,0.0,"June 7, 1988"
Jeong Soo Hyun,정수현,0.0,"March 5, 1997"
Min Chae Eun,민채은,1.0,"January 24, 1996"
Park Ye Jin,박예진,1.0,"April 1, 1981"
Yoon Do Gun,윤도건,0.0,"May 18, 1998"
Son Bo Seung,손보승,0.0,"January 11, 1999"
Rain,"비
A",0.0,"June 25, 1982"
Uee,"유이
",1.0,"April 9, 1988"
Kim So Hye,김소혜,1.0,"July 19, 1999"
Kim Woo Rin,김우린,1.0,"October 22, 1988"
Lim Se Jun,임세준,0.0,"May 4, 1996"
