eng_name,drama_num,kor_name,gender,birth,drama_cnt_naver,debut,play_actor,singer,child_actor,actor_type,actor_type_real
Kim Tae Ri,3,김태리,1.0,1986-12-07,3,2012.0,1.0,0.0,0.0,"김태리
영화배우",영화배우
Oh Jung Se,7,오정세,0.0,1986-12-07,31,1997.0,0.0,0.0,0.0,"오정세
영화배우, 연극배우","영화배우,연극배우"
Hong Kyung,1,홍경,0.0,1986-12-07,11,2017.0,0.0,0.0,0.0,"홍경
영화배우, 탤런트","영화배우,탤런트"
Kim Tae Hee,3,김태희,1.0,1986-12-07,15,2000.0,0.0,0.0,,"김태희
탤런트, 영화배우","탤런트,영화배우"
Im Ji Yeon,8,임지연,1.0,1986-12-07,13,2011.0,0.0,0.0,,"임지연
영화배우",영화배우
Kim Sung Oh,3,김성오,0.0,1986-12-07,29,2000.0,1.0,0.0,,"김성오
탤런트, 연극배우","탤런트,연극배우"
Choi Jae Rim,1,최재림,0.0,1986-12-07,4,2009.0,1.0,0.0,,"최재림
Jae Rim Choi
뮤지컬배우",뮤지컬배우
Lee Jun Ho,6,이준호,0.0,1986-12-07,15,2008.0,0.0,1.0,,"이준호
가수, 영화배우","가수,영화배우"
Im Yoon Ah,5,임윤아,1.0,1986-12-07,20,2007.0,0.0,1.0,,"윤아
임윤아
가수, 탤런트","임윤아가수,탤런트"
Shin Hye Sun,8,신혜선,1.0,1986-12-07,17,2012.0,0.0,0.0,,"신혜선
Shin Haesun
탤런트",탤런트
Ahn Bo Hyun,7,안보현,0.0,1986-12-07,19,2007.0,0.0,0.0,,"안보현
Bo Hyun Ahn
영화배우, 탤런트","영화배우,탤런트"
Ha Yoon Kyung,1,하윤경,1.0,1986-12-07,7,2015.0,1.0,0.0,,"하윤경
영화배우, 연극배우","영화배우,연극배우"
Ahn Dong Goo,1,안동구,0.0,1986-12-07,8,2019.0,0.0,0.0,,"안동구
Ahn Dong Gu
탤런트",탤런트
Woo Do Hwan,7,우도환,0.0,1986-12-07,9,2011.0,0.0,0.0,,"우도환
탤런트",탤런트
Lee Sang Yi,3,이상이,0.0,1986-12-07,16,2014.0,1.0,0.0,,"이상이
Sang Yi Lee
탤런트, 뮤지컬배우","탤런트,뮤지컬배우"
Heo Joon Ho,7,허준호,0.0,1986-12-07,31,1986.0,0.0,0.0,,"허준호
영화배우",영화배우
Park Sung Woong,9,박성웅,0.0,1986-12-07,33,1997.0,0.0,0.0,,"박성웅
영화배우, 탤런트","영화배우,탤런트"
Cha Sun Woo,3,차선우,0.0,1986-12-07,18,2011.0,0.0,1.0,,"차선우
바로
탤런트, 가수","바로탤런트,가수"
Ha Seung Ri,2,하승리,1.0,1986-12-07,30,1999.0,0.0,0.0,1.0,"하승리
Seung Lee Ha
탤런트, 영화배우","탤런트,영화배우"
Choi Yoo Jung,2,최유정,1.0,1986-12-07,14,2016.0,0.0,1.0,,"최유정
가수",가수
Kim Jong Hyeon,2,김종현,0.0,1986-12-07,14,2012.0,0.0,1.0,,"김종현
金鐘賢
아나운서",金鐘賢아나운서
Lee Eun Saem,1,이은샘,1.0,1986-12-07,12,2007.0,0.0,0.0,1.0,"이은샘
Lee EunSaem
영화배우, 탤런트","영화배우,탤런트"
Yeri,2,예리,1.0,1986-12-07,10,2015.0,0.0,1.0,,"예리
YERI
가수",가수
Lee Jong Hyuk,6,이종혁,0.0,1986-12-07,6,2021.0,0.0,0.0,,"이종혁
영화배우, 탤런트","영화배우,탤런트"
Yoo Jung Hoo,2,유정후,0.0,1986-12-07,4,2022.0,0.0,0.0,,"유정후
탤런트",탤런트
Lee El,4,이엘,1.0,1986-12-07,22,2009.0,0.0,0.0,,"이엘
김지현, EL
탤런트, 영화배우","김지현,탤런트,영화배우"
Jin Seo Yun,3,진서연,1.0,1986-12-07,12,2001.0,0.0,0.0,,"진서연
영화배우, 탤런트","영화배우,탤런트"
Cha Ye Ryun,5,차예련,1.0,1986-12-07,21,2005.0,0.0,0.0,,"차예련
영화배우, 모델","영화배우,모델"
Woo Jeong Won,1,우정원,1.0,1986-12-07,15,2007.0,1.0,0.0,,"우정원
禹晶媛
연극배우, 영화배우","禹晶媛연극배우,영화배우"
Chun Woo Hee,3,천우희,1.0,1986-12-07,6,2004.0,0.0,0.0,,"천우희
영화배우",영화배우
Kim Dong Wook,9,김동욱,0.0,1986-12-07,19,,,,,"김동욱
영화배우, 탤런트","영화배우,탤런트"
Yoon Park,11,"윤박
",0.0,1986-12-07,34,,,,,Notfound,정보없음
Park So Jin,3,박소진,1.0,1986-12-07,30,,,,,"박소진
So Jin Park
가수, 영화배우","가수,영화배우"
Lee Dong Hae,1,이동해,0.0,1986-12-07,20,,,,,"동해
이동해
가수, 탤런트","이동해가수,탤런트"
Lee Min Jae,1,이민재,0.0,1986-12-07,13,,,,,"이민재
탤런트, 영화배우","탤런트,영화배우"
Jung Woo Yeon,2,정우연,1.0,1986-12-07,10,,,,,"정우연
탤런트",탤런트
Kim Woo Bin,2,김우빈,0.0,1986-12-07,14,,,,,"김우빈
영화배우",영화배우
Song Seung Heon,7,송승헌,0.0,1986-12-07,22,,,,,"송승헌
탤런트, 영화배우","탤런트,영화배우"
Kang Yoo Seok,3,강유석,0.0,1986-12-07,9,,,,,"강유석
탤런트",탤런트
Esom,5,이솜,1.0,1986-12-07,10,,,,,"이솜
Esom
영화배우",영화배우
Lee Yun Hee,6,이연희,1.0,1986-12-07,18,,,,,"이연희
탤런트, 영화배우","탤런트,영화배우"
Hong Jong Hyun,5,홍종현,0.0,1986-12-07,33,,,,,"홍종현
모델, 탤런트","모델,탤런트"
Moon So Ri,4,문소리,1.0,1986-12-07,14,,,,,"문소리
영화배우",영화배우
U-Know,3,유노윤호,0.0,1986-12-07,13,,0.0,1.0,0.0,"유노윤호
정윤호
가수, 탤런트","정윤호가수,탤런트"
Lee Hyun Joo,2,이현주,1.0,1986-12-07,7,2015.0,0.0,1.0,0.0,"이현주
축구선수",축구선수
Lee Dong Wook,8,이동욱,0.0,1986-12-07,36,,,,,"이동욱
탤런트, 영화배우","탤런트,영화배우"
Kim So Yeon,8,김소연,1.0,1986-12-07,34,,,,,"김소연
탤런트, 영화배우","탤런트,영화배우"
Kim Bum,6,김범,0.0,1986-12-07,19,2006.0,0.0,0.0,1.0,"김범
김상범, Kim Bum
탤런트, 영화배우","김상범,탤런트,영화배우"
Ryu Kyung Soo,2,류경수,0.0,1986-12-07,7,,,,,"류경수
영화배우",영화배우
Oh Se Hun,2,오세훈,0.0,1986-12-07,13,,,,,"오세훈
吳世勳
서울시장, 전 대학교수","吳世勳서울시장,전대학교수"
Jang Yeo Bin,1,장여빈,1.0,1986-12-07,3,2017.0,0.0,0.0,0.0,"장여빈
영화배우",영화배우
Jo Joon Young,1,조준영,0.0,1986-12-07,4,,,,,"조준영
탤런트",탤런트
Jin Ki Joo,5,진기주,1.0,1986-12-07,11,,,,,"진기주
탤런트, 영화배우","탤런트,영화배우"
Han Seok Kyu,4,한석규,0.0,1986-12-07,14,,,,,"한석규
영화배우, 탤런트","영화배우,탤런트"
Lee Sung Kyung,9,이성경,1.0,1986-12-07,11,,,,,"이성경
모델, 탤런트","모델,탤런트"
Ahn Hyo Seop,6,한소희,1.0,1986-12-07,11,,,,,"한소희
탤런트",탤런트
Kim Joo Heon,5,김주헌,0.0,1986-12-07,14,,,,,"김주헌
Ju Hun Kim
연극배우",연극배우
Ra Mi Ran,6,라미란,1.0,1986-12-07,32,,,,,"라미란
영화배우, 탤런트","영화배우,탤런트"
Lee Do Hyun,7,이도현,0.0,1986-12-07,12,,,,,"이도현
임동현
탤런트",임동현탤런트
Ahn Eun Jin,3,안은진,1.0,1986-12-07,14,,,,,"안은진
영화배우",영화배우
Yoo In Soo,1,유인수,0.0,1986-12-07,13,,,,,"유인수
Yoo In Soo
탤런트",탤런트
Kim Sun Ah,7,김선아,1.0,1986-12-07,21,,,,,"김선아
영화배우, 탤런트","영화배우,탤런트"
Oh Yoon Ah,6,오윤아,1.0,1986-12-07,41,,,,,"오윤아
영화배우, 탤런트","영화배우,탤런트"
Shin Eun Jung,1,신은정,1.0,1986-12-07,35,,,,,"신은정
탤런트, 영화배우","탤런트,영화배우"
Jang Hyuk,10,장혁,0.0,1986-12-07,42,,,,,"장혁
정용준
영화배우, 탤런트","정용준영화배우,탤런트"
Jang Na Ra,8,장나라,1.0,1986-12-07,25,,,,,"장나라
영화배우, 가수","영화배우,가수"
Chae Jung An,7,채정안,1.0,1986-12-07,33,,,,,"채정안
탤런트, 영화배우","탤런트,영화배우"
Kim Nam Hee,2,김남희,0.0,1986-12-07,12,,,,,"김남희
영화배우",영화배우
Uhm Jung Hwa,3,엄정화,1.0,1986-12-07,19,,,,,"엄정화
Jung Hwa Uhm
영화배우, 가수","영화배우,가수"
Kim Byung Chul,4,김병철,0.0,1986-12-07,14,,,,,"김병철
영화배우",영화배우
Myung Se Bin,3,명세빈,1.0,1986-12-07,22,,,,,"명세빈
탤런트, 영화배우","탤런트,영화배우"
Min Woo Hyuk,2,민우혁,0.0,1986-12-07,11,,,,,"민우혁
뮤지컬배우, 배우","뮤지컬배우,배우"
Kim Hee Ae,4,김희애,1.0,1986-12-07,35,,,,,"김희애
탤런트, 영화배우","탤런트,영화배우"
Kim Jae Won,5,김재원,0.0,1986-12-07,24,2001.0,,,,"같은 이름 다른 인물
김재원
탤런트
김재원
모델
2001.
김재원
아나운서
1967.
김재원
전 국회의원
1964.
김재원
온라인콘텐츠창작자
1986.
김재원
온라인콘텐츠창작자
1998.
동명이인 노출기준
이 정보가 표시된 이유",김재원탤런트김재원모델2001.김재원아나운서1967.김재원전국회의원1964.김재원온라인콘텐츠창작자1986.김재원온라인콘텐츠창작자1998.동명이인노출기준이정보가표시된이유
Jo Han Chul,1,조한철,0.0,1986-12-07,36,,,,,"조한철
Han Cheul Cho
영화배우, 연극배우","영화배우,연극배우"
Joo Won,4,주원,0.0,1986-12-07,14,2006.0,0.0,0.0,0.0,"주원
문준원
영화배우",문준원영화배우
Lee Joo Woo,2,이주우,1.0,1986-12-07,11,,,,,"이주우
탤런트, 뮤지컬배우","탤런트,뮤지컬배우"
Choi Hwa Jung,1,최화정,1.0,1986-12-07,38,,,,,"최화정
MC, 탤런트",",탤런트"
Lee Deok Hwa,3,이덕화,0.0,1986-12-07,79,,,,,Notfound,정보없음
Yoo In Na,6,유인나,1.0,1986-12-07,33,,,,,"유인나
탤런트",탤런트
Yoon Hyun Min,10,윤현민,0.0,1986-12-07,19,,,,,"윤현민
尹賢敏
탤런트, 영화배우","尹賢敏탤런트,영화배우"
Joo Sang Wook,8,주상욱,0.0,1986-12-07,35,1998.0,,0.0,0.0,"주상욱
탤런트, 영화배우","탤런트,영화배우"
Hwang Chan Sung,2,황찬성,0.0,1986-12-07,24,,,,,"황찬성
가수, 영화배우","가수,영화배우"
Kim Seo Hyung,4,김서형,1.0,1986-12-07,21,,,,,"김서형
탤런트, 영화배우","탤런트,영화배우"
Seo Young Hee,1,서영희,1.0,1986-12-07,21,,,,,"서영희
영화배우, 탤런트","영화배우,탤런트"
Lee Shi Woo,1,이시우,0.0,1986-12-07,6,2007.0,0.0,0.0,0.0,"이시우
탤런트",탤런트
Bona,4,보나,1.0,1986-12-07,7,,,1.0,,"김지연
BONA
탤런트, 가수","탤런트,가수"
Cha Hak Yeon,4,차학연,0.0,1986-12-07,23,,,1.0,,"차학연
N
탤런트, 가수","탤런트,가수"
Shin Hyun Soo,4,신현수,0.0,1986-12-07,14,,,,,"신현수
Hyun Soo Shin
탤런트, 연극배우","탤런트,연극배우"
Lee Soon Won,1,이순원,0.0,1986-12-07,12,,,,,"이순원
영화배우",영화배우
Shin Ye Eun,5,신예은,1.0,1986-12-07,14,,,,,"신예은
탤런트",탤런트
Ryeoun,2,려운,0.0,1986-12-07,13,,,,,"려운
탤런트",탤런트
Kang Hoon,4,강훈,0.0,1986-12-07,12,,,,,"강훈
탤런트",탤런트
Jung Gun Joo,5,정건주,0.0,1986-12-07,10,,,,,"정건주
탤런트",탤런트
Cha Seo Won,3,차서원,0.0,1986-12-07,10,,,,,"차서원
이창엽
영화배우",이창엽영화배우
Gongchan,1,공찬,0.0,1986-12-07,15,,,1.0,,"공찬
공찬식
가수, 영화배우","공찬식가수,영화배우"
Shin Go Eun,2,신고은,1.0,1986-12-07,8,,,,,"신고은
뮤지컬배우",뮤지컬배우
Choi Yoon Young,3,최윤영,1.0,1986-12-07,21,,,,,"최윤영
탤런트, 영화배우","탤런트,영화배우"
Lee Chae Young,2,이채영,1.0,1986-12-07,29,,,,,"이채영
이보영
영화배우, 탤런트","이보영영화배우,탤런트"
Lee Sun Ho,2,이선호,0.0,1986-12-07,20,,,,,"이선호
탤런트, 영화배우","탤런트,영화배우"
Han Ki Woong,2,한기웅,0.0,1986-12-07,11,,,,,"한기웅
탤런트",탤런트
Lee Eun Hyung,4,이은형,0.0,1986-12-07,13,,,,,"이은형
개그맨",개그맨
Lee Ji Ah,5,이지아,1.0,1986-12-07,18,,,,,"이지아
탤런트",탤런트
Lee Sang Yoon,7,이상윤,0.0,1986-12-07,23,,,,,"이상윤
탤런트",탤런트
Jang Hee Jin,5,장희진,1.0,1986-12-07,35,,,,,"장희진
탤런트, 영화배우","탤런트,영화배우"
Park Ki Woong,4,박기웅,0.0,1986-12-07,26,,,,,"박기웅
영화배우, 화가","영화배우,화가"
Bong Tae Kyu,3,봉태규,0.0,1986-12-07,38,,,,,"봉태규
영화배우, 탤런트","영화배우,탤런트"
Song Hye Kyo,5,송혜교,1.0,1986-12-07,18,1996.0,,0.0,0.0,"송혜교
Hye Kyo Song
탤런트, 영화배우","탤런트,영화배우"
Yeom Hye Ran,3,염혜란,1.0,1986-12-07,18,,,,,"염혜란
Yeom Hye Ran
연극배우, 탤런트","연극배우,탤런트"
Park Sung Hoon,5,박성훈,0.0,1986-12-07,21,,,,,"박성훈
영화배우",영화배우
Jung Sung Il,2,정성일,0.0,1986-12-07,10,,,,,"정성일
영화배우, 연극배우","영화배우,연극배우"
Jang Dong Yoon,7,장동윤,0.0,1986-12-07,15,2016.0,,0.0,0.0,"장동윤
탤런트",탤런트
Seol In Ah,4,설인아,1.0,1986-12-07,15,,,,,"설인아
탤런트",탤런트
Choo Young Woo,3,추영우,0.0,1986-12-07,7,,,,,"추영우
탤런트",탤런트
Cho Seung Woo,5,조승우,0.0,1986-12-07,8,,,,,"조승우
영화배우, 뮤지컬배우","영화배우,뮤지컬배우"
Han Hye Jin,2,한혜진,1.0,1986-12-07,25,,0.0,0.0,1.0,"한혜진
Han Hye Jin
탤런트, 영화배우","탤런트,영화배우"
Jung Moon Sung,4,정문성,0.0,1986-12-07,22,,,,,"정문성
뮤지컬배우, 탤런트","뮤지컬배우,탤런트"
Yoon Chan Young,2,윤찬영,0.0,1986-12-07,17,2013.0,0.0,0.0,1.0,"윤찬영
탤런트, 영화배우","탤런트,영화배우"
Bang Min Ah,3,방민아,1.0,1986-12-07,13,2010.0,0.0,1.0,0.0,"방민아
Min Ah Bang
탤런트, 가수","탤런트,가수"
Kim Min Seok,3,김민석,0.0,1986-12-07,21,2012.0,0.0,0.0,0.0,"김민석
국회의원, 미국변호사","국회의원,미국변호사"
Kim Nam Gil,5,김남길,0.0,1986-12-07,21,,0.0,0.0,0.0,"김남길
영화배우, 탤런트","영화배우,탤런트"
Lee Da Hee,7,이다희,1.0,1986-12-07,28,,,,,"이다희
탤런트, 영화배우","탤런트,영화배우"
Cha Eun Woo,6,차은우,0.0,1986-12-07,18,,0.0,1.0,1.0,"차은우
가수, 영화배우","가수,영화배우"
Sung Joon,6,성준,0.0,1986-12-07,17,2011.0,0.0,0.0,0.0,"성준
방성준
탤런트, 모델","방성준탤런트,모델"
Kim Young Kwang,9,김영광,0.0,1986-12-07,30,,,,,"김영광
탤런트, 모델","탤런트,모델"
Ahn Hee Yeon,3,안희연,1.0,1986-12-07,25,,,1.0,0.0,Notfound,정보없음
Kim Ye Won,3,김예원,1.0,1986-12-07,29,2008.0,0.0,0.0,0.0,"김예원
탤런트, 영화배우","탤런트,영화배우"
Kim Eui Sung,3,김의성,0.0,1986-12-07,13,,,,,"김의성
영화배우, 드라마제작자","영화배우,드라마제작자"
Lee Je Hoon,6,이제훈,0.0,1986-12-07,11,,,,,"이제훈
jehoon Lee
영화배우",영화배우
Pyo Ye Jin,5,표예진,1.0,1986-12-07,14,,,,,"표예진
탤런트",탤런트
Choi Min Shik,2,최민식,0.0,1986-12-07,14,,,,,"최민식
영화배우",영화배우
Lee Dong Hwi,6,이동휘,0.0,1986-12-07,13,,,,,"이동휘
영화배우",영화배우
Kim Min Gue,5,김민규,0.0,1986-12-07,18,,,,,"김민규
탤런트",탤런트
Go Bo Gyeol,2,고보결,1.0,1986-12-07,17,,,,,"고보결
탤런트",탤런트
Lee Jang Woo,4,이장우,0.0,1986-12-07,22,,,,,"이장우
대전시장, 전 국회의원","대전시장,전국회의원"
Go Won Hee,11,고원희,1.0,1986-12-07,19,,,,,"고원희
영화배우",영화배우
Kim Ok Bin,6,김옥빈,1.0,1986-12-07,12,,,,,"김옥빈
Ok Vin Kim
영화배우",영화배우
Yoo Teo,1,유태오,0.0,1986-12-07,9,,,,,"유태오
영화배우",영화배우
Kim Ji Hoon,7,김지훈,0.0,1986-12-07,35,,,,,"김지훈
탤런트, 영화배우","탤런트,영화배우"
Park Hyung Sik,6,박형식,0.0,1986-12-07,21,,,1.0,,"박형식
Hyung Sik Park
탤런트, 영화배우","탤런트,영화배우"
Jeon So Nee,3,전소니,1.0,1986-12-07,5,,,,,"전소니
영화배우",영화배우
Yoon Jong Seok,1,윤종석,0.0,1986-12-07,9,,,,,"윤종석
탤런트",탤런트
Lee Tae Sun,2,이태선,0.0,1986-12-07,10,,,,,"이태선
탤런트",탤런트
Heo Won Seo,1,허원서,0.0,1986-12-07,4,,,,,"허원서
Won Seo Heo
탤런트",탤런트
Kim Jung Hyun,7,김정현,0.0,1986-12-07,11,,,,,"김정현
영화배우, 탤런트","영화배우,탤런트"
Im Soo Hyang,8,임수향,1.0,1986-12-07,21,,,,,"임수향
영화배우, 탤런트","영화배우,탤런트"
Kim Da Som,5,김다솜,1.0,1986-12-07,9,,,,,"김다솜
탤런트",탤런트
Ahn Woo Yeon,3,안우연,0.0,1986-12-07,19,,,,,"안우연
탤런트",탤런트
Kang So Ra,4,강소라,1.0,1986-12-07,13,,,,,"강소라
Kang So Ra
영화배우, 탤런트","영화배우,탤런트"
Jang Seung Jo,9,장승조,0.0,1986-12-07,16,,,,,"장승조
Jang Seung Jo
탤런트",탤런트
Jeon Do Yeon,3,전도연,1.0,1986-12-07,17,,,,,"전도연
영화배우",영화배우
Jung Kyung Ho,9,정경호,0.0,1986-12-07,23,,,,,"정경호
탤런트, 영화배우","탤런트,영화배우"
Kim Min Jae,8,김민재,0.0,1986-12-07,20,2015.0,0.0,0.0,0.0,"김민재
축구선수",축구선수
Kim Hyang Gi,4,김향기,1.0,1986-12-07,13,,,,,"김향기
영화배우, 탤런트","영화배우,탤런트"
Kim Sang Kyung,6,김상경,0.0,1986-12-07,22,,,,,"김상경
영화배우, 탤런트","영화배우,탤런트"
Kang Young Seok,1,강영석,0.0,1986-12-07,10,,,,,"강영석
연극배우, 탤런트","연극배우,탤런트"
Woo Da Vi,2,우다비,1.0,1986-12-07,8,,,,,"우다비
탤런트",탤런트
Lee Bo Young,5,이보영,1.0,1986-12-07,26,,,,,"이보영
탤런트, 영화배우","탤런트,영화배우"
Jo Sung Ha,5,조성하,0.0,1986-12-07,28,,,,,"조성하
탤런트, 영화배우","탤런트,영화배우"
Son Na Eun,4,손나은,1.0,1986-12-07,15,,,1.0,,"손나은
탤런트",탤런트
Han Joon Woo,2,한준우,0.0,1986-12-07,11,,,,,"한준우
영화배우",영화배우
Jeon Hye Jin,4,전혜진,1.0,1986-12-07,7,,,,,"전혜진
탤런트, 영화배우","탤런트,영화배우"
Lee Sun Kyun,4,이선균,0.0,1986-12-07,22,,,,,"이선균
영화배우, 탤런트","영화배우,탤런트"
Moon Chae Won,5,문채원,1.0,1986-12-07,14,,,,,"문채원
탤런트, 영화배우","탤런트,영화배우"
Park Hoon,4,박훈,0.0,1986-12-07,Notfound,,,,,"박훈
영화배우",영화배우
Ye Ji Won,6,예지원,1.0,1986-12-07,34,,,,,"예지원
이유정
영화배우, 탤런트","이유정영화배우,탤런트"
Jung Yong Hwa,3,정용화,0.0,1986-12-07,17,,,1.0,,"정용화
가수, 탤런트","가수,탤런트"
Cha Tae Hyun,6,차태현,0.0,1986-12-07,37,,,,,"차태현
영화배우, 탤런트","영화배우,탤런트"
Kwak Sun Young,4,곽선영,1.0,1986-12-07,10,,,,,"곽선영
뮤지컬배우",뮤지컬배우
Chae Soo Bin,10,채수빈,1.0,1986-12-07,14,,,,,"채수빈
탤런트, 영화배우","탤런트,영화배우"
Choi Min Ho,3,최민호,0.0,1986-12-07,Notfound,,,,,"최민호
세종시장, 전 정무직공무원","세종시장,전정무직공무원"
Lee Sang Woon,1,이상운,0.0,1986-12-07,Notfound,,,,,"이상운
Sang Woon Lee
세무사, 전 기초의원","세무사,전기초의원"
Park Hee Jung,1,박희정,1.0,1986-12-07,1,,,,,"박희정
영화배우",영화배우
Yoo Yeon Seok,7,유연석,0.0,1986-12-07,25,,,,,"유연석
안연석, Yeon Seok Yoo
탤런트, 영화배우","안연석,탤런트,영화배우"
Mun Ka Young,6,문가영,1.0,1986-12-07,30,,,,,"문가영
영화배우, 탤런트","영화배우,탤런트"
Geum Sae Rok,4,금새록,1.0,1986-12-07,7,,,,,"금새록
영화배우",영화배우
Jung Ga Ram,3,정가람,0.0,1986-12-07,10,,,,,"정가람
영화배우, 탤런트","영화배우,탤런트"
Kim Hyun Joo,7,김현주,1.0,1986-12-07,32,,,,,"김현주
탤런트, 영화배우","탤런트,영화배우"
Park Hee Soon,5,박희순,0.0,1986-12-07,11,,,,,"박희순
영화배우, 연극배우","영화배우,연극배우"
Kim Mu Yeol,5,김무열,0.0,1986-12-07,15,,,,,"김무열
영화배우, 뮤지컬배우","영화배우,뮤지컬배우"
Jung Soo Bin,2,정수빈,1.0,1986-12-07,Notfound,,,,,"정수빈NO.31
두산 베어스
외야수 · 좌투좌타",두산베어스외야수·좌투좌타
Go Soo,5,고수,0.0,1986-12-07,Notfound,,,,,Notfound,정보없음
Ahn So Hee,3,안소희,1.0,1986-12-07,10,,,1.0,,"안소희
영화배우, 탤런트","영화배우,탤런트"
Ha Joon,7,하준,0.0,1986-12-07,Notfound,,,,,"하준
Ha Jun
영화배우",영화배우
Lee Jung Eun,6,이정은,1.0,1986-12-07,29,,,,,"이정은
연극배우",연극배우
Kim Dong Hwi,1,김동휘,0.0,1986-12-07,2,,,,,"김동휘
Kim Dong Hwi
영화배우",영화배우
Seo Ji Hye,8,서지혜,1.0,1986-12-07,Notfound,,,,,"서지혜
영화배우",영화배우
Hong Soo Hyun,2,홍수현,1.0,1986-12-07,37,,,,,"홍수현
탤런트, 가수","탤런트,가수"
Lee Sang Woo,8,이상우,0.0,1986-12-07,23,,,,,"이상우
탤런트, 영화배우","탤런트,영화배우"
Lee Sung Jae,4,이성재,0.0,1986-12-07,24,,,,,"이성재
영화배우, 탤런트","영화배우,탤런트"
Park Young Woon,1,박영운,0.0,1986-12-07,5,,,,,"박영운
영화배우",영화배우
Park Jeong Woo,1,박정우,0.0,1986-12-07,Notfound,,,,,"박정우
탤런트",탤런트
Jang You Sung,1,장유성,0.0,1986-12-07,Notfound,,,,,"장유성
가수, 영화배우","가수,영화배우"
Lee Jae Wook,5,이재욱,0.0,1986-12-07,9,,,,,"이재욱
탤런트, 영화배우","탤런트,영화배우"
Go Youn Jung,1,고윤정,1.0,1986-12-07,7,,,,,"고윤정
영화배우, 탤런트","영화배우,탤런트"
Hwang Min Hyun,3,황민현,0.0,1986-12-07,6,,,,,"황민현
가수, 탤런트","가수,탤런트"
Shin Seung Ho,4,신승호,0.0,1986-12-07,9,,,,,"신승호
seung ho Shin
탤런트",탤런트
Oh Na Ra,6,오나라,1.0,1986-12-07,34,,,,,"오나라
영화배우, 탤런트","영화배우,탤런트"
Yoo Ji Tae,6,유지태,0.0,1986-12-07,12,,,,,"유지태
영화배우, 영화감독","영화배우,영화감독"
Park Hae Soo,6,박해수,0.0,1986-12-07,9,,,,,"박해수
영화배우, 연극배우","영화배우,연극배우"
Jeon Jong Seo,3,전종서,1.0,1986-12-07,3,,,,,"전종서
Jun Jong Seo
영화배우",영화배우
Lee Won Jong,3,이원종,0.0,1986-12-07,64,,,,,"이원종
탤런트, 영화배우","탤런트,영화배우"
Jang Yoon Ju,2,장윤주,1.0,1986-12-07,24,,,,,"장윤주
모델, 영화배우","모델,영화배우"
