eng_name,drama_num,kor_name,gender,birth,drama_cnt_naver,debut,play_actor,singer,actor_type_real,actor_type,,,child_actor
Jang Hyuk,10,장혁,0,20-Dec-76,42,,0,0,"정용준영화배우,탤런트","장혁
정용준
영화배우, 탤런트",,,
Jang Na Ra,8,장나라,1,18-Mar-81,25,,0,1,"영화배우,가수","장나라
영화배우, 가수",,,
Chae Jung An,7,채정안,1,21-Oct-77,33,,0,0,"탤런트,영화배우","채정안
탤런트, 영화배우",,,
Kim Nam Hee,2,김남희,0,25-May-86,12,,0,0,영화배우,"김남희
영화배우",,,
Uhm Jung Hwa,3,엄정화,1,17-Aug-69,19,,0,1,"영화배우,가수","엄정화
Jung Hwa Uhm
영화배우, 가수",,,
Kim Byung Chul,4,김병철,0,05-Jul-74,14,,0,0,영화배우,"김병철
영화배우",,,
Myung Se Bin,3,명세빈,1,10-Apr-75,22,,0,0,"탤런트,영화배우","명세빈
탤런트, 영화배우",,,
Min Woo Hyuk,2,민우혁,0,18-Sep-83,11,,0,0,"뮤지컬배우,배우","민우혁
뮤지컬배우, 배우",,,
Kim Hee Ae,4,김희애,1,23-Apr-67,35,,0,0,"탤런트,영화배우","김희애
탤런트, 영화배우",,,
Kim Jae Won,5,김재원,0,18-Feb-81,24,2001,0,0,"탤런트, 영화배우",,,,
Jo Han Chul,1,조한철,0,13-Jun-73,36,,1,0,"영화배우,연극배우","조한철
Han Cheul Cho
영화배우, 연극배우",,,
Joo Won,4,주원,0,30-Sep-87,14,2006,0,0,문준원영화배우,"주원
문준원
영화배우",,,0
Lee Joo Woo,2,이주우,1,03-Sep-90,11,,0,0,"탤런트,뮤지컬배우","이주우
탤런트, 뮤지컬배우",,,
Choi Hwa Jung,1,최화정,1,10-Feb-61,38,,0,0,",탤런트","최화정
MC, 탤런트",,,
Lee Deok Hwa,3,이덕화,0,08-May-52,79,,0,0,"탤런트, 영화배우",,,,
Yoo In Na,6,유인나,1,05-Jun-82,33,,0,0,탤런트,"유인나
탤런트",,,
Yoon Hyun Min,10,윤현민,0,15-Apr-85,19,,0,0,"尹賢敏탤런트,영화배우","윤현민
尹賢敏
탤런트, 영화배우",,,
Joo Sang Wook,8,주상욱,0,18-Jul-78,35,1998,0,0,"탤런트,영화배우","주상욱
탤런트, 영화배우",,,0
Hwang Chan Sung,2,황찬성,0,11-Feb-90,24,,0,1,"가수,영화배우","황찬성
가수, 영화배우",,,
Kim Seo Hyung,4,김서형,1,28-Oct-73,21,,0,0,"탤런트,영화배우","김서형
탤런트, 영화배우",,,
Seo Young Hee,1,서영희,1,13-Jun-79,21,,0,0,"영화배우,탤런트","서영희
영화배우, 탤런트",,,
Lee Shi Woo,1,이시우,0,19-Dec-99,6,2007,0,0,탤런트,"이시우
탤런트",,,0
Bona,4,보나,1,19-Aug-95,7,,0,1,"탤런트,가수","김지연
BONA
탤런트, 가수",,,
Cha Hak Yeon,4,차학연,0,30-Jun-90,23,,0,1,"탤런트,가수","차학연
N
탤런트, 가수",,,
Shin Hyun Soo,4,신현수,0,08-Jul-89,14,,1,0,"탤런트,연극배우","신현수
Hyun Soo Shin
탤런트, 연극배우",,,
Lee Soon Won,1,이순원,0,19-Feb-83,12,,0,0,영화배우,"이순원
영화배우",,,
Shin Ye Eun,5,신예은,1,18-Jan-98,14,,0,0,탤런트,"신예은
탤런트",,,
Ryeoun,2,려운,0,26-Aug-98,13,,0,0,탤런트,"려운
탤런트",,,
Kang Hoon,4,강훈,0,23-May-91,12,,0,0,탤런트,"강훈
탤런트",,,
Jung Gun Joo,5,정건주,0,26-May-95,10,,0,0,탤런트,"정건주
탤런트",,,
Cha Seo Won,3,차서원,0,15-Apr-91,10,,0,0,이창엽영화배우,"차서원
이창엽
영화배우",,,
Gongchan,1,공찬,0,14-Aug-93,15,,0,1,"공찬식가수,영화배우","공찬
공찬식
가수, 영화배우",,,
Shin Go Eun,2,신고은,1,07-Apr-86,8,,0,0,뮤지컬배우,"신고은
뮤지컬배우",,,
Choi Yoon Young,3,최윤영,1,25-Sep-86,21,,0,0,"탤런트,영화배우","최윤영
탤런트, 영화배우",,,
Lee Chae Young,2,이채영,1,29-Apr-86,29,,0,0,"이보영영화배우,탤런트","이채영
이보영
영화배우, 탤런트",,,
Lee Sun Ho,2,이선호,0,14-Dec-81,20,,0,0,"탤런트,영화배우","이선호
탤런트, 영화배우",,,
Han Ki Woong,2,한기웅,0,30-Dec-87,11,,0,0,탤런트,"한기웅
탤런트",,,
Lee Eun Hyung,4,이은형,0,09-Mar-83,13,,0,0,개그맨,"이은형
개그맨",,,
Lee Ji Ah,5,이지아,1,06-Aug-78,18,,0,0,탤런트,"이지아
탤런트",,,
Lee Sang Yoon,7,이상윤,0,15-Aug-81,23,,0,0,탤런트,"이상윤
탤런트",,,
Jang Hee Jin,5,장희진,1,09-May-83,35,,0,0,"탤런트,영화배우","장희진
탤런트, 영화배우",,,
Park Ki Woong,4,박기웅,0,13-Feb-85,26,,0,0,"영화배우,화가","박기웅
영화배우, 화가",,,
Bong Tae Kyu,3,봉태규,0,19-May-81,38,,0,0,"영화배우,탤런트","봉태규
영화배우, 탤런트",,,
Song Hye Kyo,5,송혜교,1,22-Nov-81,18,1996,0,0,"탤런트,영화배우","송혜교
Hye Kyo Song
탤런트, 영화배우",,,0
Yeom Hye Ran,3,염혜란,1,30-Oct-76,18,,1,0,"연극배우,탤런트","염혜란
Yeom Hye Ran
연극배우, 탤런트",,,
Park Sung Hoon,5,박성훈,0,18-Feb-85,21,,0,0,영화배우,"박성훈
영화배우",,,
Jung Sung Il,2,정성일,0,03-Feb-80,10,,1,0,"영화배우,연극배우","정성일
영화배우, 연극배우",,,
Jang Dong Yoon,7,장동윤,0,12-Jul-92,15,2016,0,0,탤런트,"장동윤
탤런트",,,0
Seol In Ah,4,설인아,1,03-Jan-96,15,,0,0,탤런트,"설인아
탤런트",,,
Choo Young Woo,3,추영우,0,05-Jun-99,7,,0,0,탤런트,"추영우
탤런트",,,
Cho Seung Woo,5,조승우,0,28-Mar-80,8,,0,0,"영화배우,뮤지컬배우","조승우
영화배우, 뮤지컬배우",,,
Han Hye Jin,2,한혜진,1,27-Oct-81,25,,0,0,"탤런트,영화배우","한혜진
Han Hye Jin
탤런트, 영화배우",,,1
Jung Moon Sung,4,정문성,0,13-Jan-81,22,,0,0,"뮤지컬배우,탤런트","정문성
뮤지컬배우, 탤런트",,,
Yoon Chan Young,2,윤찬영,0,25-Apr-01,17,2013,0,0,"탤런트,영화배우","윤찬영
탤런트, 영화배우",,,1
Bang Min Ah,3,방민아,1,13-May-93,13,2010,0,1,"탤런트,가수","방민아
Min Ah Bang
탤런트, 가수",,,0
Kim Min Seok,3,김민석,0,24-Jan-90,21,2012,0,0,"영화배우, 탤런트","영화배우, 탤런트",,,0
Kim Nam Gil,5,김남길,0,13-Mar-80,21,,0,0,"영화배우,탤런트","김남길
영화배우, 탤런트",,,0
Lee Da Hee,7,이다희,1,15-Mar-85,28,,0,0,"탤런트,영화배우","이다희
탤런트, 영화배우",,,
Cha Eun Woo,6,차은우,0,30-Mar-97,18,,0,1,"가수,영화배우","차은우
가수, 영화배우",,,1
Sung Joon,6,성준,0,10-Jul-90,17,2011,0,0,"방성준탤런트,모델","성준
방성준
탤런트, 모델",,,0
Kim Young Kwang,9,김영광,0,11-Jan-87,30,,0,0,"탤런트,모델","김영광
탤런트, 모델",,,
Ahn Hee Yeon,3,안희연,1,01-May-92,25,,0,1,"가수, 탤런트","가수, 탤런트",,,0
Kim Ye Won,3,김예원,1,11-Dec-87,29,2008,0,0,"탤런트,영화배우","김예원
탤런트, 영화배우",,,0
Kim Eui Sung,3,김의성,0,17-Dec-65,13,,0,0,"영화배우,드라마제작자","김의성
영화배우, 드라마제작자",,,
Lee Je Hoon,6,이제훈,0,04-Jul-84,11,,0,0,영화배우,"이제훈
jehoon Lee
영화배우",,,
Pyo Ye Jin,5,표예진,1,03-Feb-92,14,,0,0,탤런트,"표예진
탤런트",,,
Choi Min Shik,2,최민식,0,30-May-62,14,,0,0,영화배우,"최민식
영화배우",,,
Lee Dong Hwi,6,이동휘,0,22-Jul-85,13,,0,0,영화배우,"이동휘
영화배우",,,
Kim Min Gue,5,김민규,0,25-Dec-94,18,,0,0,탤런트,"김민규
탤런트",,,
Go Bo Gyeol,2,고보결,1,02-May-88,17,,0,0,탤런트,"고보결
탤런트",,,
Lee Jang Woo,4,이장우,0,01-Jun-86,22,,0,1,"탤런트, 가수",,,,
Go Won Hee,11,고원희,1,12-Sep-94,19,,0,0,영화배우,"고원희
영화배우",,,
Kim Ok Bin,6,김옥빈,1,03-Jan-87,12,,0,0,영화배우,"김옥빈
Ok Vin Kim
영화배우",,,
Yoo Teo,1,유태오,0,11-Apr-81,9,,0,0,영화배우,"유태오
영화배우",,,
Kim Ji Hoon,7,김지훈,0,09-May-81,35,,0,0,"탤런트,영화배우","김지훈
탤런트, 영화배우",,,
Park Hyung Sik,6,박형식,0,16-Nov-91,21,,0,0,"탤런트,영화배우","박형식
Hyung Sik Park
탤런트, 영화배우",,,
Jeon So Nee,3,전소니,1,20-Mar-91,5,,0,0,영화배우,"전소니
영화배우",,,
Yoon Jong Seok,1,윤종석,0,28-May-92,9,,0,0,탤런트,"윤종석
탤런트",,,
Lee Tae Sun,2,이태선,0,16-Jul-93,10,,0,0,탤런트,"이태선
탤런트",,,
