eng_name,drama_num,kor_name,gender,birth,drama_cnt_naver,debut,play_actor,singer,child_actor
Lee Soon Won,1,이순원,0.0,1986-12-07,12,,,,
Shin Ye Eun,5,신예은,1.0,1986-12-07,14,,,,
Ryeoun,2,려운,0.0,1986-12-07,13,,,,
Kang Hoon,4,강훈,0.0,1986-12-07,12,,,,
Jung Gun Joo,5,정건주,0.0,1986-12-07,10,,,,
Cha Seo Won,3,차서원,0.0,1986-12-07,10,,,,
Gongchan,1,공찬,0.0,1986-12-07,15,,,1.0,
Shin Go Eun,2,신고은,1.0,1986-12-07,8,,,,
Choi Yoon Young,3,최윤영,1.0,1986-12-07,21,,,,
Lee Chae Young,2,이채영,1.0,1986-12-07,29,,,,
Lee Sun Ho,2,이선호,0.0,1986-12-07,20,,,,
Han Ki Woong,2,한기웅,0.0,1986-12-07,11,,,,
Lee Eun Hyung,4,이은형,0.0,1986-12-07,13,,,,
Lee Ji Ah,5,이지아,1.0,1986-12-07,18,,,,
Lee Sang Yoon,7,이상윤,0.0,1986-12-07,23,,,,
Jang Hee Jin,5,장희진,1.0,1986-12-07,35,,,,
Park Ki Woong,4,박기웅,0.0,1986-12-07,26,,,,
Bong Tae Kyu,3,봉태규,0.0,1986-12-07,38,,,,
Song Hye Kyo,5,송혜교,1.0,1986-12-07,18,1996.0,,0.0,0.0
Yeom Hye Ran,3,염혜란,1.0,1986-12-07,18,,,,
Park Sung Hoon,5,박성훈,0.0,1986-12-07,21,,,,
Jung Sung Il,2,정성일,0.0,1986-12-07,10,,,,
Jang Dong Yoon,7,장동윤,0.0,1986-12-07,15,2016.0,,0.0,0.0
Seol In Ah,4,설인아,1.0,1986-12-07,15,,,,
Choo Young Woo,3,추영우,0.0,1986-12-07,7,,,,
Cho Seung Woo,5,조승우,0.0,1986-12-07,8,,,,
Han Hye Jin,2,한혜진,1.0,1986-12-07,25,,0.0,0.0,1.0
Jung Moon Sung,4,정문성,0.0,1986-12-07,22,,,,
Yoon Chan Young,2,윤찬영,0.0,1986-12-07,17,2013.0,0.0,0.0,1.0
Bang Min Ah,3,방민아,1.0,1986-12-07,13,2010.0,0.0,1.0,0.0
Kim Min Seok,3,김민석,0.0,1986-12-07,21,2012.0,0.0,0.0,0.0
Kim Nam Gil,5,김남길,0.0,1986-12-07,21,,0.0,0.0,0.0
Lee Da Hee,7,이다희,1.0,1986-12-07,28,,,,
Cha Eun Woo,6,차은우,0.0,1986-12-07,18,,0.0,1.0,1.0
Sung Joon,6,성준,0.0,1986-12-07,17,2011.0,0.0,0.0,0.0
Kim Young Kwang,9,김영광,0.0,1986-12-07,30,,,,
Ahn Hee Yeon,3,안희연,1.0,1986-12-07,25,,,1.0,0.0
Kim Ye Won,3,김예원,1.0,1986-12-07,29,2008.0,0.0,0.0,0.0
Kim Eui Sung,3,김의성,0.0,1986-12-07,13,,,,
Lee Je Hoon,6,이제훈,0.0,1986-12-07,11,,,,
Pyo Ye Jin,5,표예진,1.0,1986-12-07,14,,,,
Choi Min Shik,2,최민식,0.0,1986-12-07,14,,,,
Lee Dong Hwi,6,이동휘,0.0,1986-12-07,13,,,,
Kim Min Gue,5,김민규,0.0,1986-12-07,18,,,,
Go Bo Gyeol,2,고보결,1.0,1986-12-07,17,,,,
Lee Jang Woo,4,이장우,0.0,1986-12-07,22,,,,
Go Won Hee,11,고원희,1.0,1986-12-07,19,,,,
Kim Ok Bin,6,김옥빈,1.0,1986-12-07,12,,,,
Yoo Teo,1,유태오,0.0,1986-12-07,9,,,,
Kim Ji Hoon,7,김지훈,0.0,1986-12-07,35,,,,
Park Hyung Sik,6,박형식,0.0,1986-12-07,21,,,1.0,
Jeon So Nee,3,전소니,1.0,1986-12-07,5,,,,
Yoon Jong Seok,1,윤종석,0.0,1986-12-07,9,,,,
Lee Tae Sun,2,이태선,0.0,1986-12-07,10,,,,
Heo Won Seo,1,허원서,0.0,1986-12-07,4,,,,
Kim Jung Hyun,7,김정현,0.0,1986-12-07,11,,,,
Im Soo Hyang,8,임수향,1.0,1986-12-07,21,,,,
Kim Da Som,5,김다솜,1.0,1986-12-07,9,,,,
Ahn Woo Yeon,3,안우연,0.0,1986-12-07,19,,,,
Kang So Ra,4,강소라,1.0,1986-12-07,13,,,,
Jang Seung Jo,9,장승조,0.0,1986-12-07,16,,,,
Jeon Do Yeon,3,전도연,1.0,1986-12-07,17,,,,
Jung Kyung Ho,9,정경호,0.0,1986-12-07,23,,,,
Kim Min Jae,8,김민재,0.0,1986-12-07,20,2015.0,0.0,0.0,0.0
Kim Hyang Gi,4,김향기,1.0,1986-12-07,13,,,,
Kim Sang Kyung,6,김상경,0.0,1986-12-07,22,,,,
Kang Young Seok,1,강영석,0.0,1986-12-07,10,,,,
Woo Da Vi,2,우다비,1.0,1986-12-07,8,,,,
Lee Bo Young,5,이보영,1.0,1986-12-07,26,,,,
Jo Sung Ha,5,조성하,0.0,1986-12-07,28,,,,
Son Na Eun,4,손나은,1.0,1986-12-07,15,,,1.0,
Han Joon Woo,2,한준우,0.0,1986-12-07,11,,,,
Jeon Hye Jin,4,전혜진,1.0,1986-12-07,7,,,,
Lee Sun Kyun,4,이선균,0.0,1986-12-07,22,,,,
Moon Chae Won,5,문채원,1.0,1986-12-07,14,,,,
Park Hoon,4,박훈,0.0,1986-12-07,Notfound,,,,
Ye Ji Won,6,예지원,1.0,1986-12-07,34,,,,
Jung Yong Hwa,3,정용화,0.0,1986-12-07,17,,,1.0,
Cha Tae Hyun,6,차태현,0.0,1986-12-07,37,,,,
Kwak Sun Young,4,곽선영,1.0,1986-12-07,10,,,,
Chae Soo Bin,10,채수빈,1.0,1986-12-07,14,,,,
Choi Min Ho,3,최민호,0.0,1986-12-07,Notfound,,,,
Lee Sang Woon,1,이상운,0.0,1986-12-07,Notfound,,,,
Park Hee Jung,1,박희정,1.0,1986-12-07,1,,,,
Yoo Yeon Seok,7,유연석,0.0,1986-12-07,25,,,,
Mun Ka Young,6,문가영,1.0,1986-12-07,30,,,,
Geum Sae Rok,4,금새록,1.0,1986-12-07,7,,,,
Jung Ga Ram,3,정가람,0.0,1986-12-07,10,,,,
Kim Hyun Joo,7,김현주,1.0,1986-12-07,32,,,,
Park Hee Soon,5,박희순,0.0,1986-12-07,11,,,,
Kim Mu Yeol,5,김무열,0.0,1986-12-07,15,,,,
Jung Soo Bin,2,정수빈,1.0,1986-12-07,Notfound,,,,
Go Soo,5,고수,0.0,1986-12-07,Notfound,,,,
Ahn So Hee,3,안소희,1.0,1986-12-07,10,,,1.0,
Ha Joon,7,하준,0.0,1986-12-07,Notfound,,,,
Lee Jung Eun,6,이정은,1.0,1986-12-07,29,,,,
Kim Dong Hwi,1,김동휘,0.0,1986-12-07,2,,,,
Seo Ji Hye,8,서지혜,1.0,1986-12-07,Notfound,,,,
Hong Soo Hyun,2,홍수현,1.0,1986-12-07,37,,,,
Lee Sang Woo,8,이상우,0.0,1986-12-07,23,,,,
Lee Sung Jae,4,이성재,0.0,1986-12-07,24,,,,
Park Young Woon,1,박영운,0.0,1986-12-07,5,,,,
Park Jeong Woo,1,박정우,0.0,1986-12-07,Notfound,,,,
Jang You Sung,1,장유성,0.0,1986-12-07,Notfound,,,,
Lee Jae Wook,5,이재욱,0.0,1986-12-07,9,,,,
Go Youn Jung,1,고윤정,1.0,1986-12-07,7,,,,
Hwang Min Hyun,3,황민현,0.0,1986-12-07,6,,,,
Shin Seung Ho,4,신승호,0.0,1986-12-07,9,,,,
Oh Na Ra,6,오나라,1.0,1986-12-07,34,,,,
Yoo Ji Tae,6,유지태,0.0,1986-12-07,12,,,,
Park Hae Soo,6,박해수,0.0,1986-12-07,9,,,,
Jeon Jong Seo,3,전종서,1.0,1986-12-07,3,,,,
Lee Won Jong,3,이원종,0.0,1986-12-07,64,,,,
Jang Yoon Ju,2,장윤주,1.0,1986-12-07,24,,,,
Kim Woo Seok,4,김우석,0.0,1986-12-07,9,,0.0,1.0,0.0
Kim Young Dae,4,김영대,0.0,1986-12-07,15,,,,
Park Ju Hyun,5,박주현,1.0,1986-12-07,8,,,,
Lee Sun Bin,6,이선빈,1.0,1986-12-07,16,,,,
Han Sun Hwa,6,한선화,1.0,1986-12-07,25,,,,
Jung Eun Ji,4,정은지,1.0,1986-12-07,25,,,,
Choi Si Won,6,최시원,0.0,1986-12-07,32,,,,
Chae Jong Hyeop,5,채종협,0.0,1986-12-07,Notfound,,,,
Seo Eun Soo,5,서은수,1.0,1986-12-07,11,,,,
Kim Seol Hyun,5,김설현,1.0,1986-12-07,10,,,,
Yim Si Wan,6,임시완,0.0,1986-12-07,20,,,,
Shin Eun Soo,3,신은수,1.0,1986-12-07,11,,,,
a.mond,1,방재민,0.0,1986-12-07,3,,,,
Oh Yu Jin,1,오유진,1.0,1986-12-07,4,,,,
Bae Hyeon Jun,1,배현준,0.0,1986-12-07,Notfound,,,,
Kim Sun Bin,1,김선빈,0.0,1986-12-07,Notfound,,,,
Yoon Ye Joo,2,윤예주,1.0,1986-12-07,Notfound,,,,
Lee Ha Min,1,이하민,0.0,1986-12-07,Notfound,,,,
Song Joong Ki,6,송중기,0.0,1986-12-07,20,,,,
Shin Hyun Bin,5,신현빈,1.0,1986-12-07,13,,,,
Kim Yong Ji,1,김용지,1.0,1986-12-07,7,,,,
Kang Hae Lim,1,강해림,1.0,1986-12-07,2,,,,
Kim Su Yeon,1,김수연,1.0,1986-12-07,Notfound,,,,
NC.A,1,임소은,1.0,1986-12-07,8,,,,
Choi Seok Won,1,최석원,0.0,1986-12-07,Notfound,,,,
Kim Rae Won,4,김래원,0.0,1986-12-07,20,,,,
Son Ho Jun,6,손호준,0.0,1986-12-07,30,,,,
Gong Seung Yeon,8,공승연,1.0,1986-12-07,20,,,,
Lomon,2,로몬,0.0,1986-12-07,Notfound,,,,
Seo Ji Hoon,7,서지훈,0.0,1986-12-07,15,,,,
Chae Sang Woo,1,채상우,0.0,1986-12-07,19,,,,
Lee Soo Min,2,이수민,1.0,1986-12-07,18,,,,
Seo Hyun Woo,2,서현우,0.0,1986-12-07,8,,,,
Lee Seo Jin,5,이서진,0.0,1986-12-07,35,,,,
Joo Hyun Young,1,주현영,1.0,1986-12-07,14,,,,
Go Doo Shim,5,고두심,1.0,1986-12-07,84,,,,
Kang Ha Neul,4,강하늘,0.0,1986-12-07,18,,,,
Ha Ji Won,5,하지원,1.0,1986-12-07,18,,,,
Jin Seon Kyu,2,진선규,0.0,1986-12-07,15,,,,
Chang Ryul,1,장률,0.0,1986-12-07,Notfound,,,,
Jin Goo,6,진구,0.0,1986-12-07,Notfound,,,,
Nana,8,나나,1.0,1986-12-07,Notfound,,,,
Yoon Hyun Suk,1,윤현석,0.0,1986-12-07,3,,,,
Keum Dong Hyun,1,금동현,0.0,1986-12-07,3,,,,
Ha Sun Ho,1,하선호,1.0,1986-12-07,Notfound,,,,
Won Young Wook,1,원영욱,0.0,1986-12-07,Notfound,,,,
Lee Hye Ri,8,이혜리,1.0,1986-12-07,Notfound,,,,
Lee Jun Young,8,이준영,0.0,1986-12-07,13,,,,
Ok Ja Yeon,2,옥자연,1.0,1986-12-07,12,,,,
Kim Hye Soo,4,김혜수,1.0,1986-12-07,35,,,,
Kim Hae Sook,5,김해숙,1.0,1986-12-07,97,,,,
Choi Won Young,8,최원영,0.0,1986-12-07,35,,,,
Moon Sang Min,1,문상민,0.0,1986-12-07,Notfound,,,,
Shin Ha Kyun,5,신하균,0.0,1986-12-07,12,1998.0,,0.0,0.0
Han Ji Min,6,한지민,1.0,1986-12-07,23,,,,
Jang Seo Hee,3,장서희,1.0,1986-12-07,33,,,,
Oh Chang Seok,4,오창석,0.0,1986-12-07,Notfound,,,,
Kim Gyu Seon,1,김규선,1.0,1986-12-07,13,,,,
Han Ji Wan,1,한지완,1.0,1986-12-07,Notfound,,,,
Ban Hyo Jung,1,반효정,1.0,1986-12-07,78,,,,
Lee Hyun Seok,1,이현석,0.0,1986-12-07,Notfound,,,,
Park Ha Na,6,박하나,1.0,1986-12-07,25,,,,
Kang Ji Sub,3,강지섭,0.0,1986-12-07,28,,,,
Oh Seung Ah,3,오승아,1.0,1986-12-07,16,,,,
Jeon Yeo Been,3,전여빈,1.0,1986-12-07,5,,,,
Doh Kyung Soo,2,도경수,0.0,1986-12-07,12,,,,
Lee Se Hee,2,이세희,1.0,1986-12-07,9,,,,
Han Ji Hyun,1,한지현,1.0,1986-12-07,5,,,,
Bae In Hyuk,4,배인혁,0.0,1986-12-07,12,,,,
Kim Hyun Jin,1,김현진,0.0,1986-12-07,Notfound,,,,
Jang Gyu Ri,1,장규리,1.0,1986-12-07,6,,,,
Kwak Dong Yeon,5,곽동연,0.0,1986-12-07,32,2012.0,,0.0,0.0
Go Sung Hee,7,고성희,1.0,1986-12-07,12,,,,
Bae Hyun Sung,2,배현성,0.0,1986-12-07,9,,,,
Kim Seung Soo,2,김승수,0.0,1986-12-07,Notfound,,,,
Im Joo Hwan,9,임주환,0.0,1986-12-07,23,,,,
Lee Tae Sung,4,이태성,0.0,1986-12-07,25,,,,
Kim So Eun,6,김소은,1.0,1986-12-07,29,,,,
Lee Yoo Jin,1,이유진,0.0,1986-12-07,10,,,,
Ahn Jae Wook,2,안재욱,0.0,1986-12-07,32,,,,
Lee Mi Sook,2,이미숙,1.0,1986-12-07,53,,,,
Song Young Chang,1,송영창,0.0,1986-12-07,19,,,,
Shin Goo,1,신구,0.0,1986-12-07,Notfound,,,,
Oh Hyun Kyung,2,오현경,1.0,1986-12-07,48,,,,
Kim Ji Eun,3,김지은,1.0,1986-12-07,13,,,,
Namkoong Min,11,남궁민,0.0,1986-12-07,30,,,,
Choi Dae Hoon,3,최대훈,0.0,1986-12-07,29,,,,
Park Jin Woo,4,박진우,0.0,1986-12-07,Notfound,,,,
Yook Sung Jae,5,육성재,0.0,1986-12-07,19,,,,
Lee Jong Won,4,이종원,0.0,1986-12-07,Notfound,,,,
Jung Chae Yeon,4,정채연,1.0,1986-12-07,16,,,,
Park Min Young,7,박민영,1.0,1986-12-07,24,,,,
Go Kyung Pyo,7,고경표,0.0,1986-12-07,23,,,,
Kim Jae Young,6,김재영,0.0,1986-12-07,18,,,,
Jung Ryeo Won,5,김향기,1.0,1986-12-07,13,,,,
Lee Kyu Hyung,4,이규형,0.0,1986-12-07,9,,,,
Chun Ho Jin,3,천호진,0.0,1986-12-07,55,,,,
Oh Dae Hwan,2,오대환,0.0,1986-12-07,30,,,,
Cha Hwa Yun,2,차화연,1.0,1986-12-07,52,,,,
Lee Min Jung,3,이민정,1.0,1986-12-07,19,1998.0,,0.0,0.0
Lee Sang Yeob,10,이상엽,0.0,1986-12-07,38,,,,
Jung Woo,3,정우,0.0,1986-12-07,Notfound,,,,
Lee You Mi,1,이유미,1.0,1986-12-07,13,,,,
Kwon Yool,7,권율,0.0,1986-12-07,Notfound,,,,
Park Se Young,5,박세영,1.0,1986-12-07,17,,,,
Moon You Kang,1,문유강,0.0,1986-12-07,7,,,,
Ha Jung Woo,1,하정우,0.0,1986-12-07,6,,,,
Hwang Jung Min,2,황정민,0.0,1986-12-07,4,,,,
Lee Seung Gi,4,이승기,0.0,1986-12-07,38,,,,
Lee Se Young,9,이세영,1.0,1986-12-07,29,,,,
Kim Go Eun,6,김고은,1.0,1986-12-07,9,,,,
Nam Ji Hyun,6,남지현,1.0,1986-12-07,26,,,,
Park Ji Hu,2,박지후,1.0,1986-12-07,4,,,,
Wi Ha Joon,4,위하준,0.0,1986-12-07,12,,,,
Jung Il Woo,6,정일우,0.0,1986-12-07,19,,,,
Kwon Yu Ri,9,권유리,1.0,1986-12-07,35,2007.0,,1.0,0.0
Han Ji Eun,5,한지은,1.0,1986-12-07,9,,,,
Jang Gwang,2,장광,0.0,1986-12-07,Notfound,,,,
Kim Sun Young,1,김선영,1.0,1986-12-07,Notfound,,,,
Yoon Jin Seo,4,윤진서,1.0,1986-12-07,13,,,,
Park Ji Yeon,5,박지연,1.0,1986-12-07,9,,,,
Choi Soo Young,6,최수영,1.0,1986-12-07,25,,,,
Sung Dong Il,5,성동일,0.0,1986-12-07,63,,,,
Ji Chang Wook,7,지창욱,0.0,1986-12-07,22,,,,
Choi Daniel,4,최다니,0.0,1986-12-07,Notfound,,,,
Son Hyun Joo,6,손현주,0.0,1986-12-07,54,,,,
Kim Hyo Jin,3,김효진,1.0,1986-12-07,17,,,,
Kim Se Jeong,5,김세정,1.0,1986-12-07,17,,,,
Nam Yoon Su,3,남윤수,0.0,1986-12-07,10,,,,
Lee Jong Suk,5,이종석,0.0,1986-12-07,Notfound,,,,
Ji Sung,7,지성,0.0,1986-12-07,Notfound,,,,
Lee Soo Kyung,6,이수경,1.0,1986-12-07,Notfound,,,,
Yoo Young Jae,2,유영재,0.0,1986-12-07,Notfound,,,,
Jo Yu Ri,1,조유리,1.0,1986-12-07,9,,,,
Kim Yoon Woo,1,김윤우,0.0,1986-12-07,4,,,,
Kim Min Ho,1,김민호,0.0,1986-12-07,12,,,,
Jeon Seung Hun,1,전승훈,0.0,1986-12-07,2,,,,
Nam Tae Woo,1,남태우,0.0,1986-12-07,6,,,,
Lee Sang Jin,1,이상진,0.0,1986-12-07,8,,,,
Lee Jung Hyun,2,이정현,1.0,1986-12-07,16,,,,
Lee Choong Goo,1,이충구,0.0,1986-12-07,5,,,,
Jung Eugene,5,정유진,1.0,1986-12-07,11,,,,
Kim Hee Sun,6,김희선,1.0,1986-12-07,33,,,,
Lee Hyun Wook,3,이현욱,0.0,1986-12-07,12,,,,
Cha Ji Yeon,1,차지연,1.0,1986-12-07,6,,,,
Kwon Ah Reum,1,권아름,1.0,1986-12-07,8,,,,
Han Ji Hyo,1,한지효,1.0,1986-12-07,8,,,,
Kim Do Young,1,도영,0.0,1986-12-07,Notfound,,,,
Park Eun Bin,9,박은빈,1.0,1986-12-07,38,,,,
Kang Tae Oh,8,강태오,0.0,1986-12-07,16,,,,
Kang Ki Young,2,강기영,0.0,1986-12-07,24,,,,
Park Hye Soo,3,박혜수,1.0,1986-12-07,6,,,,
Jeong Jae Hyun,1,정재현,0.0,1986-12-07,Notfound,,,,
Roh Jeong Eui,4,노정의,1.0,1986-12-07,17,,,,
Lee Jin Hyuk,2,웨이,0.0,1986-12-07,Notfound,,,,
Kang Mi Na,5,강미나,1.0,1986-12-07,12,,,,
Seo In Guk,6,서인국,0.0,1986-12-07,20,,,,
Oh Yeon Seo,7,오연서,1.0,1986-12-07,24,,,,
Kwak Shi Yang,9,곽시양,0.0,1986-12-07,16,,,,
Kwon Soo Hyun,1,권수현,0.0,1986-12-07,14,,,,
Lee Yoo Ri,7,이유리,1.0,1986-12-07,43,,,,
Lee Min Young,2,이민영,1.0,1986-12-07,34,,,,
Yoon So Yi,5,윤소이,1.0,1986-12-07,23,,,,
Chani,1,강찬희,0.0,1986-12-07,Notfound,,,,
Hwiyoung,1,휘영,0.0,1986-12-07,Notfound,,,,
Jung So Min,7,정소민,1.0,1986-12-07,18,,,,
Seo Hyun,4,서현,1.0,1986-12-07,Notfound,,,,
Na In Woo,5,나인우,0.0,1986-12-07,18,,,,
Jeon Kwang Ryul,3,전광렬,0.0,1986-12-07,51,,,,
