kdrama_id,title,year,director,screenwriter,country,type,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop,korean_title
0c9607d2ecac493a8d83ef254870c401,One Day Off,2023,['Lee Jong Pil'],['Son Mi'],South Korea,Drama,8,1500.0,2023-05-24,2023-05-31,Wednesday,,Not Yet Rated,"Set in the 1990's, Park Ha Kyung teaches Korean literature at a high school. To escape her ordinary days, Park Ha Kyung decides to take one day trips on Saturdays. During her one day trip, she walks around, eats different foods, and meets various people. She realizes she receives comfort and empathy through her travels.(Source: AsianWiki) ",1223,3710,박하경 여행기
47b65449450d478c96e0612571583cdf,Star Struck,2023,"['Park Sun Jae', 'Kim Hoon Gwang']",['Jung Hyun Woo'],South Korea,Drama,8,1020.0,2023-05-18,2023-06-08,Thursday,,15+ - Teens 15 or older,"When love is kept for a long time...will that feeling blossom?Seo Han Joon has been in love with his childhood friend, Jo Yoo Jae, for a long time. He knew his feelings wouldn’t be reciprocated, and it didn’t matter because he never even dreamed of confessing to him. But this time, he wanted to express his love...(Source: blupdate2020 at Twitter; edited by Khai at MyDramaList)~~ Adapted from the novel ""Star Struck"" (스타스트럭) by Ha Tae Jin (하태진).",8567,1323,스타스트럭
213b74d7e6e542baa6a8f3ee394ce43e,Oh! Youngsim,2023,"['Kim Eun Kyung', 'Oh Hwan Min']",['Jeon Seon Young'],South Korea,Drama,10,3000.0,2023-05-15,2023-06-13,"Monday, Tuesday",ENA Genie TV,Not Yet Rated,"Oh Young Sim is single and in her 30s. She has worked as a TV variety show PD for 8 years. She wanted to make people laugh with her TV shows, which were always cancelled due to low popularity ratings. Her career is now in a crisis. She has a chance to produce a love entertainment show as a pilot program. For the show, Oh Young Sim casts famous start-up founder Mark Wang as a guest. She is surprised that Mark Wang is Wang Kyung Tae. When they were little, Wang Kyung Tae had a crush on Oh Young Sim, and he always let her know how he felt about her. Oh Young Sim did not feel the same way towards Wang Kyung Tae at the time. He then suddenly moved to the United States with his family. They lost contact with each other afterward.Now, 20 years after they were last together, Wang Kyung Tae appears in front of her as CEO Mark Wang. Meanwhile, PD Lee Chae Dong works with PD Oh Young Sim in the same variety show department. He is always on her side. Also, around Oh Young Sim is her friend Goo Wol Sook. She runs the popular YouTube video channel ""Ku's Date"".(Source: AsianWiki)~~ Adapted from the animated series ""Yeongsimi"" (영심이), which in turn is adapted from the comic series ""14-year-old Yeongsimi"" (열네 살 영심이) by Bae Geum Teak (배금택).",8020,2632,오! 영심이
e27854d516a540a58be30f87b77906f5,Black Knight,2023,,,South Korea,Drama,6,2520.0,"May 12, 2023","May 12, 2023",Friday,Netflix,15+ - Teens 15 or older,"In 2071, toxic air pollution had devastated the world, leaving only 1% of the population alive. People rarely leave their homes without gas masks, and delivery drivers known as knights protect and deliver packages. One legendary knight, Knight 5-8, meets a young refugee named Sa Wol who dreams of becoming a knight. With the help of Seol A, an officer in the Defense Intelligence Command, Knight 5-8 trains and mentors Sa Wol, helping him achieve his dream in a dangerous and harsh world.(Source: CK Warrior at MyDramaList) ~~ Adapted from the webtoon ""Black Knight” (택배기사) by Lee Yoon Kyun (이윤균).",1422,608,택배기사
131df87dd38a4036bed05a8b4f96c891,Race,2023,['Lee Dong Yoon'],['Kim Roo Ri'],South Korea,Drama,12,3480.0,2023-05-10,2023-06-14,Wednesday,Disney+ Hulu,Not Yet Rated,"Office politics take center stage for marketer Park Yoon Jo, whose lack of an academic background won’t deter her dedication to her work, and the smart and just Ryu Jae Min, who lacks any expectations towards their company.(Source: Korean = Naver || Translation = MyDramaList) ",6265,4178,레이스
d623b6c1059c493c8b7fe4c4fa3f107b,It Was Spring,2023,['Park Joon Sik'],,South Korea,Drama,8,1020.0,2023-05-08,2023-06-26,Monday,KBS1,Not Yet Rated,"Set in a high school in Mokpo, this webdrama perfectly reproduces various cultures and youth sensibilities such as music, dramas, movies, and fashion at a time, letting viewers to empathise and think about their memories.(Source: Korean = Naver || Translation = Xavier Ng at MyDramaList) ",55545,13235,시작은 첫키스
2ace8af95b164196a3ad74c147c51f65,Tale of the Nine-Tailed 1938,2023,"['Kang Shin Hyo', 'Jo Nam Hyung']",['Han Woo Ri'],South Korea,Drama,12,4200.0,2023-05-06,2023-06-11,"Saturday, Sunday",tvN,15+ - Teens 15 or older,"An unexpected case leads Lee Yeon back in time to 1938, where he reencounters Ryu Hong Joo. Once a guardian spirit of the mountain in the west, she's now the owner of a high-end restaurant in the capital city of Gyeongseong. He also meets his younger brother Lee Rang. Meanwhile, another former guardian spirit and ex-friend Cheon Moo Young has become hostile. Lee Yeon struggles to return to the present, to his loved one.(Source: AsianWiki; edited by MyDramaList)",101,546,구미호뎐 1938
1470331acb00483eaaa620cbfbc81737,All That We Loved,2023,['Kim Jin Sung'],['Kang Yoon'],South Korea,Drama,8,2100.0,2023-05-05,2023-05-26,Friday,TVING,15+ - Teens 15 or older,"Depicts the solid friendship and sincere love story of 18-year-old youths who cannot give up love or friendship. The drama deals with the unique subject of cellular memory, which hypothesizes that memory is transferred to organ transplant recipients.Go Yoo is an 18-year-old student inhis second year of Hara High School. Go Yoo grows taller everyday, and he is often praised as a genius at basketball, which he originally started in order to grow taller. He’s also a charming student who manages to at least do averagely in school despite not studying. Go Yoo is too busy to date, and he’s preoccupied with protecting Joon Hee, but after he donates his kidney to Joon Hee, he becomes rivals in love with Joon Hee for the school’s No. 1 student and his first love So Yeondue tocellular memory syndrome.(Source: Naver; Soompi)",3866,2030,우리가 사랑했던 모든 것
756ab26b55c44e1da0c6ede35d41b712,Love Mate,2023,['So Joon Moon'],,South Korea,Drama,8,1200.0,2023-05-04,2023-05-25,Thursday,,15+ - Teens 15 or older,"As a team leader, Seo Lee Joon is anything but soft. A leader at So What Media, Lee Joon’s content production team is one of the company’s best but by demanding the best from his team, he’s developed a reputation as the company’s toughest team leader. Seen by all as an iron-clad man who’s set in his ways, everyone is surprised when it becomes apparent that the company’s new employee, Jeong Ha Ram, has started to get under his skin.A very straightforward type of person, Ha Ram hides nothing about himself, including his sincere beliefs about love. Skeptical of love himself, Lee Joon has a hard time understanding how Ha Ram can be so open about love. Even more confusing for Lee Joon is trying to understand the feelings that he seems to be developing for the company’s newest employee. Finding themselves in a bit of a push-and-pull relationship, Lee Joon and Ha Ram begin to understand each other better, as they slowly learn about each other’s past and present struggles. Drawing ever closer, will this unlikely pair learn to let go of the past and allow themselves the freedom to experience true love?(Source: Viki)",5695,1135,러브메이트
3974d947cd2d4408a4f9d18b42b8a1c7,My Perfect Stranger,2023,"['Kang Soo Yeon', 'Lee Woong Hee']",['Baek So Yeon'],South Korea,Drama,16,4200.0,2023-05-01,2023-06-20,"Monday, Tuesday",KBS2 ViuTV,15+ - Teens 15 or older,"Yoon Hae Joon is the youngest anchor to ever work at his broadcasting station. He is calm and straightforward as a journalist and kind in his personal life. On the other hand, Baek Yoon Young dreamed of becoming a writer but wound up working at a publishing company. The two somehow travel back in time to the year 1987. There, Yoon Hae Joon tries to find the truth behind a serial murder case while Baek Yoon Young attempts to prevent her parents from marrying. They soon realize that their objectives are connected. (Source: AsianWiki; edited by MyDramaList)",310,981,"어쩌다 마주친, 그대"
