,year,month,rank,song,singer,info
90,2021,01,91,Shallow,Lady Gaga & Bradley Cooper,영화 스타 이즈 본 OST (A Star Is Born OST)
91,2021,01,92,Perhaps Love (사랑인가요),하울 (HowL) & 제이 (J.ae),궁 OST (MBC 수목드라마)
92,2021,01,93,사랑은 눈꽃처럼,XIA (준수),세상 어디에도 없는 착한남자 OST Part.1 (KBS 수목드라마)
93,2021,01,94,미래,Red Velvet (레드벨벳),스타트업 OST Part.1 (tvN 주말드라마)
94,2021,01,95,회상,장범준,시그널 OST Part 1 (tvN 금토드라마)
95,2021,01,96,Show Yourself,Idina Menzel & Evan Rachel Wood,Frozen 2 (겨울왕국 2 OST)
96,2021,01,97,Day & Night,정승환,스타트업 OST Part.2 (tvN 주말드라마)
97,2021,01,98,내가 많이 사랑해요,이승철,달빛조각사 웹툰 OST Part.1
98,2021,01,99,별,유미 (Youme),미녀는 괴로워 OST
99,2021,01,100,그 끝에 그대,청하,호텔 델루나 OST Part.6 (tvN 토일드라마)
100,2021,01,1,Your Lights,이수 (엠씨더맥스),Your Lights (바이크 원정대 OST Part.1)
101,2021,01,2,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
102,2021,01,3,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
103,2021,01,4,밤하늘의 저 별처럼,헤이즈 (Heize) & 펀치 (Punch),밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙) (SBS 월화드라마)
104,2021,01,5,아로하,조정석,슬기로운 의사생활 OST Part 3 (tvN 목요드라마)
105,2021,01,6,마음을 드려요,아이유 (IU),사랑의 불시착 OST Part 11 (tvN 토일 드라마)
106,2021,01,7,시작,가호 (Gaho),이태원 클라쓰 OST Part.2 (JTBC 금토드라마)
107,2021,01,8,안녕,폴킴,호텔 델루나 OST Part.10 (tvN 토일드라마)
108,2021,01,9,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9 (tvN 금토드라마)
109,2021,01,10,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11 (tvN 목요드라마)
110,2021,01,11,기억해줘요 내 모든 날과 그때를,거미 (Gummy),호텔 델루나 OST Part.7 (tvN 토일드라마)
111,2021,01,12,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3 (tvN 토일드라마)
112,2021,01,13,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2 (tvN 목요드라마)
113,2021,01,14,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
114,2021,01,15,그때 그 아인,김필,이태원 클라쓰 OST Part.6 (JTBC 금토드라마)
115,2021,01,16,내 눈물 모아,휘인 (Whee In),슬기로운 의사생활 OST Part 8 (tvN 목요드라마)
116,2021,01,17,화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4 (tvN 목요드라마)
117,2021,01,18,"다시 난, 여기",백예린 (Yerin Baek),사랑의 불시착 OST Part 4 (tvN 토일 드라마)
118,2021,01,19,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
119,2021,01,20,돌덩이,하현우 (국카스텐),이태원 클라쓰 OST Part.3 (JTBC 금토드라마)
120,2021,01,21,희재,성시경,국화꽃 향기 OST
121,2021,01,22,내 생에 아름다운,케이윌 (K.Will),뷰티 인사이드 OST Part.4 (JTBC 월화드라마)
122,2021,01,23,너였다면,정승환,또 오해영 OST Part 5 (tvN 월화드라마)
123,2021,01,24,"너에게 난, 나에게 넌",미도와 파라솔,슬기로운 의사생활 OST Part 12 (tvN 목요드라마)
124,2021,01,25,눈의 꽃,박효신,눈의 꽃
125,2021,01,26,아직 너의 시간에 살아,이수현,사이코지만 괜찮아 OST Part.4 (tvN 토일드라마)
126,2021,01,27,어떤 날엔,김재환,사랑의 불시착 OST Part 5 (tvN 토일 드라마)
127,2021,01,28,나의 어깨에 기대어요,10CM,호텔 델루나 OST Part.2 (tvN 토일드라마)
128,2021,01,29,내일은 고백할게,태연 (TAEYEON),브람스를 좋아하세요? OST Part.5 (SBS 월화드라마)
129,2021,01,30,이제는 어떻게 사랑을 하나요,정효빈,연애의 참견 시즌3 OST - Part.6
130,2021,01,31,그리움,찬희 (SF9),여신강림 OST Part 5 (tvN 수목드라마)
131,2021,01,32,어른,Sondia,나의 아저씨 OST Part. 2 (tvN 수목드라마)
132,2021,01,33,그대 고운 내사랑,어반자카파,슬기로운 의사생활 OST Part 5 (tvN 목요드라마)
133,2021,01,34,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1 (SBS 월화드라마)
134,2021,01,35,My Way,이수 (엠씨더맥스),돈꽃 OST PART.1 (MBC 주말드라마)
135,2021,01,36,그대는 어디에,김나영,그대는 어디에 (런 온 OST Part.8) (JTBC 수목드라마)
136,2021,01,37,Beautiful,Crush,도깨비 OST Part 4 (tvN 금토드라마)
137,2021,01,38,PUZZLE,소유 (SOYOU) & 박우진 (AB6IX),철인왕후 OST Part. 4 (tvN 주말드라마)
138,2021,01,39,있잖아,폴킴,연애플레이리스트2 OST Part.2
139,2021,01,40,재회 (再會),김세정,경이로운 소문 OST Part 2 (OCN 주말드라마)
140,2021,01,41,잘 지내요,정승환,라이프 OST Part. 6 (JTBC 월화드라마)
141,2021,01,42,소녀,오혁,응답하라 1988 OST Part 3 (tvN 금토드라마)
142,2021,01,43,내 목소리 들리니,벤,호텔 델루나 OST Part.9 (tvN 토일드라마)
143,2021,01,44,Speechless (Full),Naomi Scott,Aladdin (Original Motion Picture Soundtrack)
144,2021,01,45,둘만의 세상으로 가,Crush,사랑의 불시착 OST Part 10 (tvN 토일 드라마)
145,2021,01,46,너무 보고싶어,어쿠스틱 콜라보,연애의 발견 OST Part 6 (KBS 월화드라마)
146,2021,01,47,처음부터 너와 나,볼빨간사춘기,군주 - 가면의 주인 OST Part.2 (MBC 수목드라마)
147,2021,01,48,걱정말아요 그대,이적,응답하라 1988 OST Part 2 (tvN 금토드라마)
148,2021,01,49,Into the Unknown,Idina Menzel & AURORA,Frozen 2 (겨울왕국 2 OST)
149,2021,01,50,Done For Me,펀치 (Punch),호텔 델루나 OST Part.12 (tvN 토일드라마)
150,2021,01,51,모르시나요,다비치,아이리스Ⅱ OST Part 1 (KBS 수목드라마)
151,2021,01,52,All For You,서인국 & 정은지,응답하라 1997 Love Story Part 1 (tvN 화요드라마)
152,2021,01,53,응급실,izi,쾌걸춘향 OST
153,2021,01,54,이 사랑,다비치,태양의 후예 OST Part.3 (KBS2 수목드라마)
154,2021,01,55,Lonely Night,권진아,슬기로운 의사생활 OST Part 1 (tvN 목요드라마)
155,2021,01,56,상사화,안예은,역적 : 백성을 훔친 도적 OST Part.5 (MBC 월화드라마)
156,2021,01,57,영화 속에 나오는 주인공처럼,펀치 (Punch),동백꽃 필 무렵 (KBS2 수목드라마) OST - Part.6
157,2021,01,58,어느 날 우리,김필,스타트업 OST Part.3 (tvN 주말드라마)
158,2021,01,59,잊지 말아요,백지영,잊지 말아요 - 아이리스 (Iris) OST Part.1
159,2021,01,60,Here I am,조현아 (어반자카파),철인왕후 OST Part. 3 (tvN 주말드라마)
160,2021,01,61,조금 더 외로워지겠지,김나영,검색어를 입력하세요 WWW OST Part 7 (tvN 수목드라마)
161,2021,01,62,See You Again (Feat. Charlie Puth),Wiz Khalifa,분노의 질주: 더 세븐 (Fast & Furious 7) OST
162,2021,01,63,노을,다비치,사랑의 불시착 OST Part 3 (tvN 토일 드라마)
163,2021,01,64,잊었니,소향,오! 삼광빌라! OST Part.9 (KBS2 주말드라마)
164,2021,01,65,꿈처럼,벤,또 오해영 OST Part 2 (tvN 월화드라마)
165,2021,01,66,내 맘을 볼 수 있나요,헤이즈 (Heize),호텔 델루나 OST Part.5 (tvN 토일드라마)
166,2021,01,67,G＋Jus Freestyle (Prod. by GroovyRoom),저스디스 (JUSTHIS),쇼미더머니 9 Special
167,2021,01,68,만약에,태연 (TAEYEON),쾌도 홍길동 OST (KBS 수목드라마)
168,2021,01,69,시간을 거슬러,린 (LYn),해를 품은 달 OST Part.2 시간을 거슬러 (MBC 수목드라마)
169,2021,01,70,Another Day,먼데이 키즈 (Monday Kiz) & 펀치 (Punch),호텔 델루나 OST Part.1 (tvN 토일드라마)
170,2021,01,71,You Are My Everything,거미 (Gummy),태양의 후예 OST Part.4 (KBS2 수목드라마)
171,2021,01,72,우연히 봄,로꼬 & 유주 (YUJU),냄새를 보는 소녀 OST Part.2 (SBS 수목드라마)
172,2021,01,73,Someday,아이유 (IU),드림하이 OST Part.1 (KBS 월화드라마)
173,2021,01,74,바라보기,엠씨더맥스 (M.C the MAX),미녀의 탄생 OST PART4 (SBS 주말드라마)
174,2021,01,75,"묘해, 너와",어쿠스틱 콜라보,연애의 발견 OST Part 4 (KBS 월화드라마)
175,2021,01,76,나란히,BewhY (비와이),스위트홈 OST (넷플릭스 드라마)
176,2021,01,77,너에게,성시경,응답하라 1994 OST Part 2 (tvN 드라마)
177,2021,01,78,너는 나의 시작이자 마지막이다,임한별 & 김재환,더 킹 : 영원의 군주 OST Part 13 (SBS 금토드라마)
178,2021,01,79,위로,권진아,멜로가 체질 OST Part 1 (JTBC 금토 드라마)
179,2021,01,80,그런 사람 또 없습니다,이승철,슬픔보다 더 슬픈이야기 OST 2nd
180,2021,01,81,별,유미 (Youme),미녀는 괴로워 OST
181,2021,01,82,결혼,문문 (MoonMoon),이번 생은 처음이라 OST Part 4 (tvN 월화드라마)
182,2021,01,83,I Miss You,소유 (SOYOU),도깨비 OST Part 7 (tvN 금토드라마)
183,2021,01,84,"기다린 만큼, 더",검정치마,또 오해영 OST Part 7 (tvN 월화드라마)
184,2021,01,85,첫 눈,정준일,도깨비 OST Part 8 (tvN 금토드라마)
185,2021,01,86,쉼표 (From '소울'),이적 & 윤석철,쉼표 (From '영화 소울')
186,2021,01,87,밤이 깊었네 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 OST Part 10 (tvN 목요드라마)
187,2021,01,88,A Whole New World,Mena Massoud & Naomi Scott,Aladdin (Original Motion Picture Soundtrack)
188,2021,01,89,Perhaps Love (사랑인가요),하울 (HowL) & 제이 (J.ae),궁 OST (MBC 수목드라마)
189,2021,01,90,Happy Ending,카더가든,여신강림 OST Part 3 (tvN 수목드라마)
190,2021,01,91,Flower,윤미래,사랑의 불시착 OST Part 2 (tvN 토일 드라마)
191,2021,01,92,나의 시간은,백현 (BAEKHYUN),청춘기록 OST - Part.3 (tvN 월화드라마)
192,2021,01,93,사랑의 시작은 고백에서부터,김범수,프로듀사 OST (KBS 금토드라마)
193,2021,01,94,Shallow,Lady Gaga & Bradley Cooper,영화 스타 이즈 본 OST (A Star Is Born OST)
194,2021,01,95,사랑은 눈꽃처럼,XIA (준수),세상 어디에도 없는 착한남자 OST Part.1 (KBS 수목드라마)
195,2021,01,96,회상,장범준,시그널 OST Part 1 (tvN 금토드라마)
196,2021,01,97,내가 많이 사랑해요,이승철,달빛조각사 웹툰 OST Part.1
197,2021,01,98,그 끝에 그대,청하,호텔 델루나 OST Part.6 (tvN 토일드라마)
198,2021,01,99,Show Yourself,Idina Menzel & Evan Rachel Wood,Frozen 2 (겨울왕국 2 OST)
199,2021,01,100,Day & Night,정승환,스타트업 OST Part.2 (tvN 주말드라마)
200,2021,01,1,Your Lights,이수 (엠씨더맥스),Your Lights (바이크 원정대 OST Part.1)
201,2021,01,2,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
202,2021,01,3,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
203,2021,01,4,아로하,조정석,슬기로운 의사생활 OST Part 3 (tvN 목요드라마)
204,2021,01,5,밤하늘의 저 별처럼,헤이즈 (Heize) & 펀치 (Punch),밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙) (SBS 월화드라마)
205,2021,01,6,마음을 드려요,아이유 (IU),사랑의 불시착 OST Part 11 (tvN 토일 드라마)
206,2021,01,7,시작,가호 (Gaho),이태원 클라쓰 OST Part.2 (JTBC 금토드라마)
207,2021,01,8,안녕,폴킴,호텔 델루나 OST Part.10 (tvN 토일드라마)
208,2021,01,9,Fall in You,하성운,여신강림 OST Part 6 (tvN 수목드라마)
209,2021,01,10,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11 (tvN 목요드라마)
210,2021,01,11,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9 (tvN 금토드라마)
211,2021,01,12,기억해줘요 내 모든 날과 그때를,거미 (Gummy),호텔 델루나 OST Part.7 (tvN 토일드라마)
212,2021,01,13,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3 (tvN 토일드라마)
