,frequency_findinginfo,search_volume_findinginfo,Anxiety,change_plan,effect_change_plan,selfdefence_item_search,selfdefence_item_type,selfdefence_item_purchase,selfdefence_item_purchase_period,selfdefence_item_purchase_present,selfdefence_item_purchase_present_period,selfdefence_item_friend,selfdefence_item_security,selfdefence_item_permission,selfdefence_item_self_defence,sex,age,residence,job,have_children,household
123,3,4,5,1,4.0,1,삼단봉,0,,0,,1,2,2,1,1,23,인천광역시 부평구,4,0,1
124,3,4,4,1,3.0,1,"호신용 스프레이, 방검복",0,,0,,3,4,1,2,1,24,경기도 의정부시,1,0,1
125,3,3,3,1,3.0,1,가스총,0,,0,,2,3,2,2,0,45,경남 김해시 진영,2,0,0
126,3,2,2,0,3.0,0,호신용 스프레이,1,7.0,1,21.0,1,2,2,1,0,19,서울특별시 서대문구,1,0,1
127,2,3,4,0,,0,(검색해보지 않았다),0,,0,,0,3,0,2,0,26,광주광역시 북구,1,0,1
128,3,1,2,1,2.0,1,가스총,0,,1,21.0,3,2,1,2,1,22,대전시 서구,2,1,0
129,3,5,4,0,4.0,1,"호신용 스프레이, 삼단봉, 가스총, 경보기",0,,0,,2,2,1,1,0,38,서울시 강남구 역삼동,2,0,0
130,2,3,3,0,,1,삼단봉,0,,0,,0,3,2,1,0,21,서울 강서구,1,0,1
131,1,2,4,1,5.0,1,"호신용 스프레이, 삼단봉",0,,0,,0,3,2,2,1,21,청주시 흥덕구,1,0,0
132,3,4,4,0,,1,"호신용 스프레이, 삼단봉",0,,0,,2,3,0,2,1,24,강원도 홍천군,4,0,1
133,3,3,4,0,,0,(검색해보지 않았다),0,,0,,0,3,2,2,1,21,인천 미추홀구,1,0,0
134,2,1,4,0,,0,(검색해보지 않았다),0,,0,,0,4,0,2,1,21,대전시 유성구,1,0,1
135,3,4,5,0,3.0,0,(검색해보지 않았다),0,,0,,0,1,2,2,1,63,서울 용산구,2,0,0
136,2,2,3,0,1.0,0,(검색해보지 않았다),0,,0,,0,3,0,0,0,51,경남 양산시,2,0,1
137,2,3,4,0,,1,호신용 스프레이,0,,0,,1,3,0,0,1,28,충청남도 천안시 서북구,2,0,1
138,3,4,5,1,3.0,1,"호신용 스프레이, 삼단봉, 가스총",0,,0,,2,5,1,1,1,56,경기도 고양시 일산동구,3,1,1
139,2,4,4,0,3.0,1,가스총,0,,0,,0,4,0,2,1,35,경기도 성남시 분당구,2,0,1
140,1,1,3,0,,0,(검색해보지 않았다),0,,0,,1,4,2,2,1,27,경기도 하남시,4,0,1
141,3,3,3,1,1.0,1,"호신용 스프레이, 삼단봉, 경보기",0,,0,,0,3,1,2,1,24,경기도 고양시 일산동구,2,0,1
142,2,1,1,0,1.0,1,"삼단봉, 가스총, 방검복",0,30.0,0,,2,4,2,2,0,23,경기도 시흥시 정왕동,4,0,1
143,2,3,4,0,,0,(검색해보지 않았다),0,,0,,0,4,0,0,0,26,서울시 강남구,4,0,1
144,2,5,5,1,3.0,1,"호신용 스프레이, 가스총, 방범용 CCTV",1,30.0,0,,1,4,2,2,1,25,경기도 남양주시 와부읍,1,0,1
145,2,3,5,0,,0,(검색해보지 않았다),0,,0,,0,3,2,2,1,24,경기도 부천시 소사구,2,0,1
146,2,3,4,0,,1,삼단봉,0,,0,,0,4,1,2,0,18,경기도 성남시 분당구,1,0,1
147,2,4,3,0,,1,"호신용 스프레이, 가스총",0,,0,,1,4,0,0,1,38,서울시 노원구 공릉동,2,0,1
148,2,4,4,0,,0,(검색해보지 않았다),0,,0,,0,4,2,0,0,45,부산시 북구,2,0,0
149,2,4,2,0,,0,(검색해보지 않았다),0,,0,,0,3,2,2,0,30,충북 충주시,2,0,0
150,3,5,3,1,2.0,0,(검색해보지 않았다),0,,0,,0,2,0,2,1,18,서울특별시 노원구,1,0,1
151,2,2,5,0,,0,(검색해보지 않았다),0,,0,,2,3,0,0,1,28,경기도 파주시,1,0,1
152,2,4,3,0,,1,호신용 스프레이,0,,0,,1,4,1,1,0,42,서울시 은평구 신사동,2,1,1
153,3,3,4,1,3.0,1,"삼단봉, 경보기, 방범용 CCTV",0,,0,,1,3,1,1,1,21,세종시 도담동,4,0,1
154,2,4,4,0,,0,(검색해보지 않았다),0,,0,,0,4,2,0,0,33,대전광역시 대덕구,2,0,1
155,3,4,5,1,4.0,0,(검색해보지 않았다),0,,0,,0,2,2,2,1,21,충청남도 천안시 서북구,1,0,0
156,3,3,4,1,3.0,1,"호신용 스프레이, 삼단봉",0,,0,,0,2,1,0,1,19,경기도 김포시,1,0,1
157,3,4,4,1,2.0,0,(검색해보지 않았다),1,30.0,0,,0,3,0,2,1,29,경기 화성시 병점동,4,0,0
158,3,4,4,1,4.0,0,(검색해보지 않았다),0,,0,,0,2,1,2,1,22,서울 영등포구,1,0,1
159,3,5,5,1,5.0,1,호신용 스프레이,0,,0,,0,3,0,2,1,22,서울특별시 성동구,1,0,1
160,3,5,5,1,5.0,1,"호신용 스프레이, 가스총",0,,0,,0,2,0,0,1,21,경기도 과천시,1,0,1
161,2,2,3,0,3.0,0,"호신용 스프레이, 경보기",0,,0,,0,3,1,1,0,21,광주광역시,1,0,1
162,2,2,4,1,3.0,0,(검색해보지 않았다),0,,0,,1,2,0,0,1,21,대전광역시 서구,1,0,1
163,3,3,5,1,4.0,1,"호신용 스프레이, 경보기",0,,0,,0,4,0,1,1,32,충북청주시,3,0,1
164,2,1,4,0,,0,(검색해보지 않았다),0,,0,,0,3,0,0,1,23,안산시 단원구,1,0,1
165,2,2,1,0,,0,(검색해보지 않았다),0,,0,,0,4,0,2,0,19,경기도 시흥시,1,0,0
166,3,5,4,0,,1,"호신용 스프레이, 방검복",0,,0,,0,3,0,0,1,40,경북 경산,3,0,1
167,2,3,4,1,4.0,1,"호신용 스프레이, 삼단봉",0,,1,7.0,1,4,2,2,1,22,부산시 해운대구,1,0,1
168,3,4,3,0,4.0,0,(검색해보지 않았다),0,,0,,0,3,0,0,0,29,경기 양주,2,0,1
169,2,3,3,1,2.0,1,호신용 스프레이,1,30.0,0,,0,3,2,1,1,23,강원도 춘천시,1,0,1
170,2,3,5,0,,0,(검색해보지 않았다),0,,0,,0,4,0,1,1,20,경기도 용인시 기흥구,1,0,1
171,2,3,4,0,,0,(검색해보지 않았다),0,,0,,0,4,0,2,0,49,괏주광역시 서구,2,0,1
172,2,1,3,0,1.0,0,(검색해보지 않았다),0,,0,,0,1,2,2,0,39,경남 사천시,2,0,0
173,2,3,3,0,1.0,0,(검색해보지 않았다),0,,0,,0,3,0,1,0,28,경기도 안양시 동안구,2,0,1
174,2,4,4,1,4.0,1,호신용 스프레이,1,21.0,1,21.0,3,4,1,1,0,45,서울 강동,2,1,1
175,3,3,4,1,3.0,0,(검색해보지 않았다),0,,0,,1,4,1,1,0,44,인천시 연수구 송도동,2,1,1
176,1,2,3,0,,1,"호신용 스프레이, 삼단봉",0,,0,,0,4,0,0,1,22,대구광역시 남구,1,0,0
177,3,5,5,1,3.0,1,"호신용 스프레이, 가스총",0,,0,,3,3,0,0,1,39,서울시,2,0,0
178,2,3,3,0,3.0,1,"호신용 스프레이, 삼단봉",0,,0,,0,4,1,1,1,38,서울시 관악구,2,0,1
179,2,3,3,1,4.0,0,가스총,0,,0,21.0,2,4,1,0,0,38,충남 천안시,2,1,1
180,3,5,5,0,,0,(검색해보지 않았다),0,,0,,0,4,0,0,1,41,창원시 의창구,2,0,0
181,3,4,5,0,,0,(검색해보지 않았다),0,,0,,0,3,0,0,1,60,부산시 남구,3,1,1
182,3,4,4,1,3.0,1,삼단봉,0,,0,,1,3,2,2,0,38,인천시 부평구,2,0,0
183,3,4,3,1,5.0,0,(검색해보지 않았다),0,,0,,2,2,0,2,1,21,대전광역시 유성구,1,0,1
184,0,4,4,0,,0,(검색해보지 않았다),0,,0,,0,2,0,0,0,36,경상남도 양산시 강서동,2,0,0
185,3,5,5,0,3.0,1,호신용 스프레이,0,,0,,2,3,0,0,1,28,마포그,2,0,0
186,2,3,2,0,2.0,0,(검색해보지 않았다),0,,0,,0,4,0,0,1,50,용인시 수지구,2,1,1
187,2,3,4,0,,0,(검색해보지 않았다),0,,0,,0,3,2,2,0,19,서울특별시 노원구,1,0,1
188,2,4,5,1,2.0,1,가스총,0,21.0,1,30.0,0,4,1,0,0,17,서울시,2,0,1
189,2,3,4,0,3.0,0,호신용 스프레이,1,30.0,0,30.0,0,2,2,2,0,56,충북 청주시 흥덕구,4,0,1
190,3,3,5,1,4.0,0,(검색해보지 않았다),1,30.0,0,,1,1,0,2,1,32,서울시 동작구,2,0,1
191,3,4,5,1,4.0,1,"호신용 스프레이, 삼단봉, 가스총, 방검복",0,,0,,0,1,2,2,0,28,경기도 고양시 일산동구,4,0,1
192,3,4,5,0,,1,"가스총, 경보기",0,,0,,0,3,1,1,1,19,경남 창원시 마산합포구,0,0,1
193,2,3,5,0,,1,가스총,0,,0,,0,3,1,1,1,17,경남 창원시 마산합포구,0,0,1
194,2,4,5,0,,0,(검색해보지 않았다),0,,0,,0,2,1,1,1,80,경남 창원시 마산회원구,3,1,1
195,1,3,3,0,3.0,0,(검색해보지 않았다),0,,0,,0,3,2,2,0,39,서울,2,1,1
196,2,3,5,1,5.0,1,"호신용 스프레이, 삼단봉",0,,0,,1,1,0,0,0,33,충북 청주시 상당구,2,0,0
197,3,4,5,1,4.0,1,"호신용 스프레이, 경보기",0,,0,,0,2,2,2,1,42,서울시 송파구 방이동,3,1,1
198,3,4,3,1,4.0,1,호신용 스프레이,0,,0,,0,2,2,2,1,31,대구 북구,2,0,1
199,3,5,3,1,5.0,1,"가스총, 경보기",0,,0,,2,3,1,2,0,25,서울 강북구,1,0,0
200,2,3,3,0,3.0,0,(검색해보지 않았다),0,,0,,0,2,0,0,1,52,서울시 금천구,2,1,1
201,2,4,4,0,3.0,1,호신용 스프레이,0,,0,,0,3,1,1,1,38,경기도남양주시,3,1,1
202,3,5,5,1,5.0,1,"삼단봉, 경보기",0,,0,,3,5,2,2,1,26,서울특별시 서초구,2,0,1
203,2,4,4,0,3.0,0,(검색해보지 않았다),0,,0,,0,3,1,1,0,45,서울시 성동구 응봉동,2,0,0
204,2,3,4,0,,0,(검색해보지 않았다),0,,0,,0,1,0,0,1,33,서울시 마포,4,0,0
205,3,5,3,0,1.0,1,"삼단봉, 가스총",0,,0,,1,5,1,1,0,35,경기도 안양시 만안구,2,1,1
206,2,3,4,1,5.0,1,"호신용 스프레이, 방검복, 방범용 CCTV",1,7.0,0,,3,2,1,0,0,31,서울 금천구,2,1,1
207,2,3,2,0,2.0,0,삼단봉,0,,0,,1,4,1,1,0,32,청주시 청원구,2,0,0
208,2,1,2,0,,0,(검색해보지 않았다),0,,0,,0,4,0,2,0,34,대구광역시 달서구,2,0,1
209,3,4,5,1,4.0,1,"가스총, 경보기",0,,0,,0,4,1,1,0,43,경기도 성남시 중원구,2,1,1
210,3,5,5,1,4.0,1,"호신용 스프레이, 삼단봉, 가스총",1,21.0,1,7.0,3,4,2,2,1,29,경기도 안산시 상록구,2,0,1
211,2,3,1,0,,1,호신용 스프레이,1,30.0,1,30.0,0,4,0,0,1,23,천안시 서북구,2,0,1
212,3,4,5,1,5.0,1,호신용 스프레이,1,21.0,1,21.0,1,3,1,2,1,26,경기도 서초구,1,0,0
213,2,4,4,1,4.0,1,가스총,1,30.0,0,,0,2,2,1,1,46,부산시,3,1,1
214,3,5,5,1,4.0,1,"(검색해보지 않았다), 호신용 스프레이",0,,0,,0,3,0,0,1,31,서울 강동구,2,0,1
215,2,3,2,0,2.0,1,호신용 스프레이,0,,0,,0,4,0,1,1,31,경남,2,0,1
216,3,4,4,0,2.0,0,방범용 CCTV,0,,0,,2,4,1,1,0,50,서울강남구,2,1,1
217,2,4,4,1,3.0,0,(검색해보지 않았다),0,,0,,0,3,0,2,1,23,김해시,1,0,0
218,1,1,3,0,,0,(검색해보지 않았다),0,,0,,0,4,0,0,0,61,서울시 강북구,2,1,0
219,2,4,3,0,,1,삼단봉,0,,0,,0,3,1,2,0,49,서울 강서구 화곡동,2,0,1
220,2,3,4,1,4.0,0,(검색해보지 않았다),0,,0,,0,3,0,0,0,22,아산시,2,0,0
221,2,3,2,1,4.0,0,(검색해보지 않았다),0,,0,,0,1,1,0,0,26,경기도 용인시 처인구,4,0,1
222,2,2,2,0,1.0,0,(검색해보지 않았다),0,,0,,0,4,2,0,1,21,충청남도 아산시,1,0,0
223,2,2,4,0,,0,(검색해보지 않았다),0,,0,,0,4,0,0,1,24,서울시 서대문구,1,0,0
224,1,1,4,0,,0,(검색해보지 않았다),0,,0,,0,3,1,0,1,26,제주시 봉개동,2,0,0
225,2,3,5,0,3.0,0,(검색해보지 않았다),0,,0,,0,2,0,0,1,22,서울시 강서구,1,0,1
226,1,3,4,1,4.0,1,삼단봉,0,,1,7.0,2,4,1,1,0,47,경기 위례,2,1,1
227,3,3,3,1,3.0,1,"호신용 스프레이, 방검복",1,21.0,0,,1,3,2,2,1,41,광주시 북구,2,0,1
228,1,3,4,1,2.0,0,(검색해보지 않았다),0,,0,,0,3,1,1,1,43,부산시 연제구 연산동,2,0,1
229,2,2,4,0,4.0,0,(검색해보지 않았다),0,,0,,0,3,1,1,1,30,인천 미추홀구,2,0,1
230,2,3,4,0,3.0,0,(검색해보지 않았다),0,,0,,0,3,2,2,0,46,부산시 남구,2,1,1
