Unnamed: 0,drama_name,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,time_per_ep,synopsis,actor_list,kor_title
96,Unlock My Boss,ENA,['Lee Chul Ha'],['Kim Hyung Min'],2022-12-07,2023-01-12,"Wednesday, Thursday",2022,12,300.0,"As founder and CEO of one of the country’s largest IT companies, Kim Sun Joo is a name everyone knows. A true genius in his field, Sun Joo has everything in life going for him. But living at the top comes with its own set of challenges, and some would stop at nothing to bring him down. In this case, literally.Hunted down by an unknown killer, Sun Joo becomes the unfortunate victim of a senseless murder. But instead of leaving this life, Sun Joo’s spirit somehow takes up residence in his smartphone. Now trapped within his phone, Sun Joo might have spent an eternity there, had Park In Sung not stumbled upon it.A down-and-out university graduate unable to find a job, In Sung is shocked to find a phone inhabited by the spirit of Sun Joo. Taking advantage of the situation Sun Joo does his best to convince In Sung to help him; a task which becomes much easier once he mentions the hefty reward he’s willing to give In Sung in exchange for his services.Taking on the role of temporary CEO, In Sung steps into Sun Joo’s shoes at the company, much to the chagrin of his secretary, Jung Se Yeon. Working together in secret, will the two be able to find those responsible for Sun Joo’s death?(Source: Viki)~~ Adapted from the webtoon ""Unlock the Boss"" (사장님을 잠금해제) by Park Seong Hyun (박성현).","['Park Sung Woong', 'Chae Jong Hyeop', 'Seo Eun Soo']",사장님을 잠금해제
97,Riding Dongdang,,,,2022-12-01,2023-01-05,Thursday,2022,6,130.0,,"['Kim Da Ye', 'Jo Ki Sung']",라이딩동댕
98,Oh! My Assistant,,['Joo Sung Min'],['Jung Yoo Kyung'],2022-12-01,2022-12-23,"Thursday, Friday",2022,8,112.0,"Seon Ho is an artist who draws adult webtoons. It started as an easy way to make money, but it’s caused some unexpected side effects: he hasn’t been aroused for over two years! Exhausted, he hires an assistant. It’s just that he didn’t expect him to be so cute! Mu Yeong is clean, talented, and apparently loaded, so... why does he want to work under Seon Ho?Turns out, Mu Yeong is Seon Ho’s number one fan...(Source: Mangaupdates)~~ Adapted from the webtoon “Oh! My Assistant” (오나의어시님) by Mila (밀라) and Angrymonster (앵몬).","['Song Seung Hyun', 'Ko Chan Bin']",오! 나의 어시님
99,Recipe for Farewell,,,,2022-12-01,2023-01-05,Thursday,2022,12,160.0,"Chang Wook is in his 40's. He works as a translator and a humanities instructor. His wife suffers from terminal bowel cancer. She also has difficulties eating, because of digestive problem. She asks Chang Wook to cook for her everyday, even though the only thing he knows how to make is ramen. Chang Wook begins to cook for his wife and she eats little bits of his food, which he cooks with love and care.(Source: AsianWiki)~~ Adapted from the non-fiction novel ""Oneuleun Jom Maewoolji Molla"" (오늘은 좀 매울지도 몰라) by Kang Chang Rae (강창래).~~ Release dates: Oct 6, 2022 (Busan International Film Festival) || Dec 1, 2022","['Han Seok Kyu', 'Kim Seo Hyung']",오늘은 좀 매울지도 몰라
100,Happy Ending Romance,,['Seong Do Joon'],['Lee Seo Jung'],2022-11-24,2022-12-15,Thursday,2022,8,225.0,"Cha Jung Woo might have had a bright future as a writer, had he not been unable to stay silent after witnessing corruption among his seniors. Unfortunately, by choosing to speak out against unscrupulous behavior, Jung Woo essentially ended his career before it had even begun. At least that’s how things would have gone, had Kim Jung Hyun not chosen to stand beside him.One of the literary world’s brightest stars, Jung Hyun is not frightened off by Jung Woo’s tarnished reputation and offers him a refuge in which to reconsider his future. Strongly protective of his young friend, Jung Hyun is more than a little wary when Jung Woo is approached by the enterprising young publisher, Han Tae Young. Firmly believing that Jung Woo must write again, Tae Young is prepared to risk his own future in bringing this about, and makes Jung Woo an offer he cannot refuse. But Jung Hyun isn’t convinced that Tae Young’s motives are entirely noble.Fueled by jealousy and suspicion, Jung Hyun tries to keep Jung Woo away from the ambitious publisher; but despite all his efforts, Jung Woo seems unable to resist Tae Young’s many charms. Torn between the writer he looks up to and the publisher he can’t resist, where will Jung Woo’s wavering heart land? (Source: Viki; edited by MyDramaList)","['Leo', 'Ha Jong Woo', 'Karam']",펜스 밖은 해피엔딩
101,Why Opposites Attract,,,,2022-11-21,2023-01-02,,2022,8,60.0,,,반대가 끌리는 이유
102,Summer Strike,ENA Genie TV,,,2022-11-21,2022-12-26,Monday,2022,12,250.0,"Lee Yeo Reum is a young woman whose career and life are going very well: She has just been awarded permanent contract status at work, and she has a boyfriend she likes very much. But work is starting to get stressful, and then she is hit with a double whammy of misfortune. Her mother dies in a tragic accident just moments after she is dumped by her boyfriend. Feeling utterly dejected and burned out, she decides to quit her job, head to the seaside, and do absolutely nothing for a while – at least until she can recharge her batteries and recover mentally.She moves to a small seaside village named Angok. And it is here that she meets An Dae Beom, a librarian who also has his share of skeletons in the closet. Many years ago, he was a math prodigy with a bright academic future ahead of him. But circumstances have forced him away from the big city and the scholastic life. What will happen when these two lost souls meet – and will a spell of “doing nothing” in this small town really cure their ills?(Source: Viki)~~ Adapted from the webtoon ""I Don't Feel Like Doing Anything"" (아무것도 하고 싶지 않아) by Joo Young Hyun (주영현).","['Kim Seol Hyun', 'Yim Si Wan', 'Shin Eun Soo', 'a.mond']",아무것도 하고 싶지 않아
103,New Love Playlist,Viki,['Kang Min Kyung'],['Choi Yo Ji'],2022-11-18,2022-12-28,"Wednesday, Friday",2022,12,75.0,“New Love Playlist” will tell the story of college students during the COVID-19 pandemic and how they deal with feelings of love in such an unimaginable and difficult time.,"['Yoo Jung Hoo', 'Oh Yu Jin', 'Bae Hyeon Jun', 'Kim Sun Bin', 'Yoon Ye Joo', 'Lee Ha Min']",뉴연플리
104,Weak Hero Class 1,,,,"Nov 18, 2022","Nov 18, 2022",Friday,2022,8,300.0,"Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside of his school. (Source: Asianwiki)~~ Adapted from the webtoon “Weak Hero” (약한영웅) written by SeoPass (서패스) and illustrated by Kim Jin Seok  (김진석). ~~ Release dates: Oct 7, 2022 (Festival) || Nov 18, 2022 (Online)","['Hong Kyung', 'Kim Su Gyeom', 'Park Ji Hoon', 'Choi Hyun Wook']",약한영웅 Class 1
105,Reborn Rich,jTBC ViuTV,['Jeong Dae Yun'],['Kim Tae Hee'],2022-11-18,2022-12-25,"Friday, Saturday, Sunday",2022,16,281.0,"Yoon Hyun Woo is a devoted, hard-working, and loyal secretary to the Soonyang chaebol family, which runs the lucrative Soonyang Group business empire, founded by Jin Yang Cheol. During a power struggle between Jin Yang Cheol's children for control of the empire, Hyun Woo is ruthlessly betrayed and killed under the orders of an unknown member of the chaebol family. Miraculously he wakes up as a kid inside the body of the youngest member of the family – Jin Do Jun.After he realizes what has happened, Yoon Hyun Wo plots to use his new “identity” to formulate a hostile takeover of the group – and punish the people who killed him. But, will the cold-blooded and money-hungry CEO of Soonyang Group, one who firmly believes in right of primogeniture, be so easy to win over or conquer? Will Hyun Woo be able to wrest the reins from Jin Yang Cheol's children? And what role will be played in all this by a dogged public prosecutor named Seo Min Young, nicknamed “Soonyang Group Grim Reaper”?(Source: LuckyGirlGwenIce at MyDramaList)~~ Adapted from the web novel ""Youngest Son of a Conglomerate"" (재벌집 막내아들) by San Gyung (산경).","['Lee Sung Min', 'Song Joong Ki', 'Shin Hyun Bin']",재벌집 막내아들
