eng_title,kor_title,genre,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,synopsis,actor_list,Video Count,Total Views,cond,blog_cnt,after_two_months
Black Knight,택배기사,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",Netflix,,,2023-05-12,2023-05-12,Friday,2023,6,"In 2071, toxic air pollution had devastated the world, leaving only 1% of the population alive. People rarely leave their homes without gas masks, and delivery drivers known as knights protect and deliver packages. One legendary knight, Knight 5-8, meets a young refugee named Sa Wol who dreams of becoming a knight. With the help of Seol A, an officer in the Defense Intelligence Command, Knight 5-8 trains and mentors Sa Wol, helping him achieve his dream in a dangerous and harsh world.(Source: CK Warrior at MyDramaList) ~~ Adapted from the webtoon ""Black Knight” (택배기사) by Lee Yoon Kyun (이윤균).","['Kim Woo Bin', 'Song Seung Heon', 'Kang Yoo Seok', 'Esom']",32,17965200,False,"16,910건",2023-07-11
Race,레이스,"['Business', 'Romance', 'Drama', 'Melodrama']",Disney+ Hulu,['Lee Dong Yoon'],['Kim Roo Ri'],2023-05-10,2023-06-14,Wednesday,2023,12,"Office politics take center stage for marketer Park Yoon Jo, whose lack of an academic background won’t deter her dedication to her work, and the smart and just Ryu Jae Min, who lacks any expectations towards their company.(Source: Korean = Naver || Translation = MyDramaList) ","['Lee Yun Hee', 'Hong Jong Hyun', 'Moon So Ri', 'U-Know']",32,8922000,False,"42,025건",2023-07-09
It Was Spring,시작은 첫키스,"['Comedy', 'Romance', 'Youth', 'Drama']",KBS1,['Park Joon Sik'],,2023-05-08,2023-06-26,Monday,2023,8,"Set in a high school in Mokpo, this webdrama perfectly reproduces various cultures and youth sensibilities such as music, dramas, movies, and fashion at a time, letting viewers to empathise and think about their memories.(Source: Korean = Naver || Translation = Xavier Ng at MyDramaList) ","['Cha Sun Woo', 'Kim Jong Hyeon', 'Lee Hyun Joo']",32,5777500,False,"4,372건",2023-07-07
Tale of the Nine-Tailed 1938,구미호뎐 1938,"['Historical', 'Horror', 'Romance', 'Fantasy']",tvN,"['Kang Shin Hyo', 'Jo Nam Hyung']",['Han Woo Ri'],2023-05-06,2023-06-11,"Saturday, Sunday",2023,12,"An unexpected case leads Lee Yeon back in time to 1938, where he reencounters Ryu Hong Joo. Once a guardian spirit of the mountain in the west, she's now the owner of a high-end restaurant in the capital city of Gyeongseong. He also meets his younger brother Lee Rang. Meanwhile, another former guardian spirit and ex-friend Cheon Moo Young has become hostile. Lee Yeon struggles to return to the present, to his loved one.(Source: AsianWiki; edited by MyDramaList)","['Lee Dong Wook', 'Kim So Yeon', 'Kim Bum', 'Ryu Kyung Soo']",26,16213000,False,"3,994건",2023-07-05
All That We Loved,우리가 사랑했던 모든 것,"['Romance', 'Youth']",TVING,['Kim Jin Sung'],['Kang Yoon'],2023-05-05,2023-05-26,Friday,2023,8,"Depicts the solid friendship and sincere love story of 18-year-old youths who cannot give up love or friendship. The drama deals with the unique subject of cellular memory, which hypothesizes that memory is transferred to organ transplant recipients.Go Yoo is an 18-year-old student inhis second year of Hara High School. Go Yoo grows taller everyday, and he is often praised as a genius at basketball, which he originally started in order to grow taller. He’s also a charming student who manages to at least do averagely in school despite not studying. Go Yoo is too busy to date, and he’s preoccupied with protecting Joon Hee, but after he donates his kidney to Joon Hee, he becomes rivals in love with Joon Hee for the school’s No. 1 student and his first love So Yeondue tocellular memory syndrome.(Source: Naver; Soompi)","['Oh Se Hun', 'Jang Yeo Bin', 'Jo Joon Young']",32,3324200,False,"193,031건",2023-07-04
Love Mate,러브메이트,"['Comedy', 'Romance', 'Drama']",,['So Joon Moon'],,2023-05-04,2023-05-25,Thursday,2023,8,"As a team leader, Seo Lee Joon is anything but soft. A leader at So What Media, Lee Joon’s content production team is one of the company’s best but by demanding the best from his team, he’s developed a reputation as the company’s toughest team leader. Seen by all as an iron-clad man who’s set in his ways, everyone is surprised when it becomes apparent that the company’s new employee, Jeong Ha Ram, has started to get under his skin.A very straightforward type of person, Ha Ram hides nothing about himself, including his sincere beliefs about love. Skeptical of love himself, Lee Joon has a hard time understanding how Ha Ram can be so open about love. Even more confusing for Lee Joon is trying to understand the feelings that he seems to be developing for the company’s newest employee. Finding themselves in a bit of a push-and-pull relationship, Lee Joon and Ha Ram begin to understand each other better, as they slowly learn about each other’s past and present struggles. Drawing ever closer, will this unlikely pair learn to let go of the past and allow themselves the freedom to experience true love?(Source: Viki)","['Cho Han Gyeol', 'Cho Hyun Min']",31,12041100,False,868건,2023-07-03
My Perfect Stranger,"어쩌다 마주친, 그대","['Mystery', 'Romance', 'Drama', 'Sci-Fi']",KBS2 ViuTV,"['Kang Soo Yeon', 'Lee Woong Hee']",['Baek So Yeon'],2023-05-01,2023-06-20,"Monday, Tuesday",2023,16,"Yoon Hae Joon is the youngest anchor to ever work at his broadcasting station. He is calm and straightforward as a journalist and kind in his personal life. On the other hand, Baek Yoon Young dreamed of becoming a writer but wound up working at a publishing company. The two somehow travel back in time to the year 1987. There, Yoon Hae Joon tries to find the truth behind a serial murder case while Baek Yoon Young attempts to prevent her parents from marrying. They soon realize that their objectives are connected. (Source: AsianWiki; edited by MyDramaList)","['Kim Dong Wook', 'Jin Ki Joo']",26,17744000,False,"2,899건",2023-06-30
Dr. Romantic Season 3,낭만닥터 김사부3,"['Romance', 'Drama', 'Medical']",SBS,['Yoo In Shik'],['Kang Eun Kyung'],2023-04-28,2023-06-17,"Friday, Saturday",2023,16,"At Doldam Hospital, Dr. Kim Sa Bu and his team are committed to saving lives. After three years, a state-of-the-art trauma centre is set to open, equipped with the latest in medical technology.Prior to the centre's official opening, however, a crisis unfolds on a North Korean ship that's drifted into South Korean waters. Doctors from Doldam Hospital fly out to help the critically injured aboard the ship. However, the patients need to be transported to the hospital. To complicate matters, the South Korean government wants the North Korean patients returned to their country as part of diplomatic efforts with their neighbouring country.Amidst the chaos, Cha Jin Man—the father of Cha Eun Jae and a former rival of Dr. Kim Sa Bu—is brought on board to run the new trauma centre. (Source: AsianWiki; edited by MyDramaList)","['Han Seok Kyu', 'Lee Sung Kyung', 'Ahn Hyo Seop', 'Kim Joo Heon']",26,15471000,False,"6,637건",2023-06-27
Happy Merry Ending,해피메리엔딩,"['Romance', 'Drama']",,['Min Chae Yeon'],['Seok Bo Bae'],2023-04-27,2023-05-19,"Thursday, Friday",2023,8,"Seung Jun is a singing coach and part-time singer at weddings, where he performs without any enthusiasm. He is insecure and withdrawn and has suffered panic attacks since being brutally dumped by his first love. Jae Hyun, a newly hired pianist at the wedding venue, becomes instantly besotted when he meets Seung Jun and immediately sets out to pursue him romantically. Seung Jun, while not rejecting Jae Hyun’s advances outright, is unable to let anyone get close to him. As the two continue to work together at weddings, will the warm and outgoing Jae Hyun succeed in wearing down Seung Jun’s defences?(Source: MyDramaList)~~ Adapted from the webtoon“Happy Merry Ending” (해피메리엔딩) by dorae (도래).","['Lee Dong Won', 'Byun Sung Tae', 'Kim Kyu Jong', 'Shin Myung Sung']",30,5858000,False,282건,2023-06-26
The Good Bad Mother,나쁜엄마,"['Comedy', 'Life', 'Drama', 'Family']",jTBC Netflix TVING,['Shim Na Yeon'],['Bae Se Young'],2023-04-26,2023-06-08,"Wednesday, Thursday",2023,14,"Young Soon is a single mother and pig farmer who raised her son Kang Ho alone. Despite her love for him, her strict parenting caused Kang Ho to view her as a bad mother. As an adult, Kang Ho became a cold-hearted prosecutor and kept his distance from his mother. However, an unexpected accident caused him to return to his hometown and start over with Young Soon. Kang Ho's childhood friend Mi Joo, known for her warm heart and strong sense of justice, also reconnected with him after his accident, leading to a transformative experience for her.(Source: CK Warrior at MyDramaList)","['Ra Mi Ran', 'Lee Do Hyun', 'Ahn Eun Jin', 'Yoo In Soo']",35,12303000,False,"7,858건",2023-06-25
