eng_title,kor_title,genre,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,synopsis,actor_list,Video Count,Total Views,cond,blog_cnt,after_two_months
All of Us Are Dead,지금 우리 학교는,"['Action', 'Thriller', 'Horror', 'Sci-Fi']",Netflix,['Lee Jae Gyoo'],['Chun Sung Il'],2022-01-28,2022-01-28,Friday,2022,12,"A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.(Source: Netflix)~~ Adapted from the webtoon ""All of Us Are Dead"" (지금 우리 학교는) by Joo Dong Geun (주동근). ","['Yoon Chan Young', 'Lomon', 'Park Ji Hu', 'Cho Yi Hyun']",32,57211500,False,"14,815건",2022-03-29
Rookie Cops,너와 나의 경찰수업,"['Romance', 'Life', 'Youth', 'Drama']",Disney+ Hulu,"['Kim Byung Soo', 'Kim Jung Wook']",['Lee Ha Na'],2022-01-26,2022-03-16,Wednesday,2022,16,"A coming-of-age story that captures the spirit, challenges and passion of youth as two students at the Korean National Police University experience life's charms and traumas whilst trying to become full-fledged cops. From bridging generation gaps with harmony to finding their own romance on campus, two very different students work to achieve their dreams and aspirations in the line of duty.(Source: Disney+) ","['Chae Soo Bin', 'Kang Daniel']",32,14613800,False,"5,185건",2022-03-27
Color Rush Season 2,컬러 러쉬 2,"['Thriller', 'Mystery', 'Romance', 'Youth']",LINE TV Viki,,,2022-01-21,2022-01-21,Friday,2022,8,"Choi Yeon Woo is a high school student and a “mono” – a person who sees the world only in a dull and lifeless black and white. But for every mono, there is a “probe” – a kind of soulmate who allows the mono to see the world in vivid color. Yeon Woo’s probe was a boy named Yoo Han, and the two developed a beautiful friendship that blossomed into romance. But as their relationship intensified, mysterious goings-on suddenly got very unpleasant for Yeon Woo, who eventually found that Yoo Han had disappeared, with his mother also vanishing.Yeon Woo vows to do whatever it takes to track down his “probe” and his mother. A classmate named Se Hyun learns of Yeon Woo’s quest and resolves to help and protect him – as a close friendship develops between the two students. But Se Hyun hides a secret, and Yeon Woo could be about to discover the truth… Meanwhile, Yeon Woo is not alone – other monos are nearer than he might think, including a female mono who is looking for her own probe. And a TV producer is also on the scene, hoping to get to the bottom of the mono-probe mystery!(Source: Viki)~~ Adapted from the web novel ""Color Rush"" (컬러 러쉬) by Se Sang (세상).","['Yoo Jun', 'Hyuk']",32,4470000,False,69건,2022-03-22
"Don't Lie, Rahee",돈 라이 라희,"['Romance', 'Youth']",Naver TV Cast,,,2022-01-19,2022-02-09,Wednesday,2022,4,"An icon of perfection on the outside, Noh Rahee is an influencer with 100k followers! As she tries to keep up the image of ""perfect Rahee"" made up with lies, her first love shows up! Will Rahee be able to keep her secrets till the end? (Source: KOK TV Youtube) ","['Kim Ji Woong', 'Kim Na Hyun', 'Choi Yeon Soo']",28,32437400,False,23건,2022-03-20
Dr. Park’s Clinic,내과 박원장,"['Comedy', 'Medical']",TVING,,,2022-01-14,2022-02-18,"Friday, Saturday",2022,12,"Dr. Park Won Jang recently opened his own internal medicine clinic. His goal is to become acknowledged as a skilled physician and make a lot of money in the process. He thought that if he opened his own clinic, the money would soon roll in. Reality is a little different for Park Won Jang. His clinic receives very few patients and it is teetering on insolvency. He struggles to save his clinic. Making things worse, he also suffers from hair loss. Meanwhile, Park Won Jang is married to Sa Mo Rim. His wife trusts the advice of medical TV programs more than her husband.(Source: AsianWiki)~~ Adapted from the webtoon ""Internal Medicine Physician Park Won Jang"" (내과 박원장) by Jang Bong Soo (장봉수).","['Ra Mi Ran', 'Lee Seo Jin']",26,16685900,False,810건,2022-03-15
Through the Darkness,암흑을 뚫고,"['Thriller', 'Mystery', 'Drama']",SBS,"['Kim Jae Hong', 'Park Bo Ram']","['Seol Yi Na', 'Kwon Il Yong']",2022-01-14,2022-03-12,"Friday, Saturday",2022,12,"Back in the 1990s, the citizens of Seoul were gripped with a paralyzing fear after a series of brutal attacks and murders occurred. A mysterious figure dubbed ‘Red Cap’ was stalking women on the streets then killing his prey, seemingly without provocation. His habit of striking at random made it impossible for the detectives to predict his next move. At the top of their minds is what could be triggering him. Aware of the American F.B.I. and its successful use of criminal profilers to identify serial killers, the head of the Criminal Behavioral Analysis team, Gook Young Soo recruits Song Ha Young, a quiet, reserved, incredibly perceptive former detective for his team. Gook believes using this new psychological method will give the police an edge in capturing 'Red Cap' and ending his killing spree. Homicide expert Yoon Tae Goo and her officers question the value of this approach and are resistant to entering such uncharted territory. To quell their scorn they need to convince that this radical crime-fighting approach will increase their arrest rates. Does Song Ha Young have the ability to gain the trust of callous criminals while seeing through them? Is he clever enough to outwit them?  But more importantly, does he possess the emotional fortitude to withstand the process? (Source: Viki; edited by Lee C)~~ Adapted from the autobiography of the same title, co-written by Korea's first criminal profiler, Kwon Il Yong and journalist-turned-author Ko Na Mu, depicting some of Kwon's field experiences.","['Jin Seon Kyu', 'Kim Nam Gil', 'Kim So Jin']",20,3636900,False,250건,2022-03-15
"No, Thank You Season 2",며느라기 시즌2,"['Comedy', 'Romance', 'Life', 'Drama']",Daum Kakao TV,['Lee Kwang Young'],,2022-01-08,2022-03-26,Saturday,2022,12,"Min Sa Rin has adapted herself to the role of a daughter-in-law and her life is going relatively smoothly. She gets involved in an unexpected case.(Source: Asianwiki)~~ Adapted from the webcomic ""Myeoneuragi"" (며느라기) by Soo Shin Ji (수신지). ","['Kwon Yool', 'Park Ha Sun', 'Moon Hee Kyung', 'Kim Jong Goo']",32,20005000,False,331건,2022-03-09
Tracer,트레이서,"['Action', 'Thriller', 'Mystery', 'Drama']",MBC,['Lee Seung Young'],['Kim Hyun Jung'],2022-01-07,2022-01-29,"Friday, Saturday",2022,8,"Hwang Dong Joo is the chief of taxation division 5 at the National Tax Service. He works hard to trace money that is hidden from the tax service. His team includes Seo Hye Young, who has a bright personality, and his boss is Oh Young.Meanwhile, In Tae Joon is the director of a regional tax office. He is an ambitious man who has earned his way to the top through corrupt and illegal actions, all the while maintaining his cocky attitude.(Source: AsianWiki, Soompi)","['Yim Si Wan', 'Son Hyun Joo', 'Go Ah Sung', 'Park Yong Woo']",32,9979300,False,"3,083건",2022-03-08
I'm Done,주미 다 했다,"['Comedy', 'Youth']",,,['Kim Sa Ra'],2022-01-04,2022-01-21,"Tuesday, Friday",2022,6,"It is a web drama that empathizes with the reality of college life in the era of Corona 19, depicting the story of college life transformed into a 'Zoom' image that any college student in their early 20s can relate to.(Source: Naver) ","['Jeong Soo Hyun', 'Min Chae Eun', 'Park Ye Jin', 'Yoon Do Gun', 'Son Bo Seung']",20,20788500,False,244건,2022-03-05
Ghost Doctor,고스트 닥터,"['Comedy', 'Medical', 'Fantasy', 'Supernatural']",tvN,['Boo Sung Chul'],['Kim Eun Hee'],2022-01-03,2022-02-22,"Monday, Tuesday",2022,16,"Cha Young Min is a genius doctor, with excelling skills at surgery, but he is arrogant and selfish. One day, he gets involved in an accident and due to this, his spirit possesses another doctor's body, Seung Tak. These two doctors are complete opposites, with opposite personalities and medical abilities.Young Min is arrogant and cold-blooded, only cares about his career and doesn't care about any of his patient's personal stories. Seung Tak is the luckiest and richest resident doctor whose grandfather is the founder of Myung-shin hospital and whose mother is the chairman of the hospital. Never wanting to be a good doctor, he becomes possessed by a ghost doctor.  (Source: AsianWiki, CJ ENM)","['Kim Bum', 'Son Na Eun', 'Rain', 'Uee']",26,11897800,False,"3,469건",2022-03-04
Her Bucket List,그녀의 버킷리스트,"['Comedy', 'Romance', 'Drama']",Daum Kakao TV,,,2021-12-31,2021-12-31,Friday,2021,10,"Very much in love with her boyfriend, Cha Ra Ri is devastated when she learns that he has unexpectedly passed away. Unsure how she can ever find the strength to go on living without him, Ra Ri decides to follow her boyfriend in death. But the discovery of a bucket list, which she had written with him ages ago, inspires her to hold off on death for just a while longer. Determined to fulfill every item of their shared bucket list, Ra Ri sets out to do just that. As she begins checking items off their list, she crosses paths with Kang Hansol, an idol trainee with great potential but terrible stage fright. Brought together by fate, Ra Ri and Hansol begin completing items on her bucket list together, their time together giving them the strength to hold on, just a while longer.Working their way through the list, Ra Ri and Hansol begin to realize there are unexpected feelings growing between them. Drawing ever closer, the pain they’ve both endured slowly begins to fade. Will their newfound feelings give them the strength they need to continue living despite everything?(Source: Viki)~~ Adapted from a webtoon of the same name.","['Na In Woo', 'Kim So Hye', 'Kim Woo Rin', 'Lim Se Jun']",20,536500,False,54건,2022-03-01
The Man's Voice,그 놈 목소리,"['Comedy', 'Romance', 'Fantasy']",iQiyi Viki,,['Kim Kyung Hee'],2021-12-30,2021-12-30,Thursday,2021,8,"A fantasy rom-com about a convenience store part-timer who is searching for a full-time job, a handsome pilot, and his pet cat. The drama tells the story that unfolds when the shy female lead gains the ability to communicate with a cat she coincidentally meets and comes to make some sort of deal with the prickly cat. Baek Tae Hwa is the cat’s owner and an airline co-pilot. He has a good background and handsome looks that would make anyone fall for him. Due to his naturally sweet personality, Baek Tae Hwa has often made women cry without meaning to. The pet hotel he uses suddenly closes before his flight one day, so Baek Tae Hwa ends up entrusting his pet with a woman. Go Mi Rim has an ordinary background and is optimistic by nature. She works part-time at a convenience store while looking for a full-time job. Go Mi Rim agrees to take care of the cat owned by her one-sided love interest, but she starts to hear the cat’s voice after being hit by lightning, setting up the plot for an interesting romance to unfold.(Source: iQiyi)","['Choi  Tae Joon', 'Song Ji Eun', 'Sung Ji Ru']",20,5832000,False,118건,2022-02-28
Behind Cut,비하인드 컷,['Romance'],,['Han Woo Im'],,2021-12-28,2022-01-19,"Tuesday, Wednesday",2021,8,"Ki Jin is a budding fashion design student who dreams big: He wants to become a world-famous clothing designer. But the journey to the top of South Korea’s fashion tree is not an easy one, and he is struggling to find the right path. One day, on the street, he bumps into Yeong Woo, an ever-optimistic part-time delivery worker. Even though it seems everyone he knows has formulated a grand plan about how their future will unfurl, Yeong Woo doesn’t have a dream. While all others are in a rush to get somewhere in life, it seems that his own life is stuck in first gear.Although things have got off to a decidedly shaky start for Ki Jin and Yeong Woo, they start to develop a fondness for one another, and start to wonder if their seemingly opposing blend of determinedness and acceptance could be a case of “opposites attract.” But when a leading model named Lee Bin arrives on the scene, things get complicated. He starts to develop a crush on Ki Jin. Could this development spell the end for the fledgling romance between Ki Jin and Yeong Woo?(Source: Viki)","['Bum Jun', 'Eom Se Ung']",20,1894100,False,"2,484건",2022-02-26
Best Mistake Season 3,일진에게 반했을 때,"['Comedy', 'Romance', 'Youth', 'Drama']",vLive,,,2021-12-27,2022-02-17,"Tuesday, Thursday",2021,16,"The new season will take place in a college setting, showing the growth and romance of young people as they prepare to enter the real world.","['Yoon Hyun Suk', 'Kang Hye Won', 'Lee Eun Jae', 'Kang Yul', 'Kim Won Pil']",26,21424500,False,340건,2022-02-25
I'm Watching You,지켜보고 있다,['Crime'],TVING,,,2021-12-26,2021-12-26,Sunday,2021,4,"A crime factual drama that captures the other side of the crime such as CCTV footage, black box videos, social media posts, and cell phone videos that someone filmed, from multiple perspectives. It looks at crime realistically through the eyes of society rather than from the perspective of victims and perpetrators.(Source: TVING, Naver, MyDramaList) ",,30,4063200,False,"2,395건",2022-02-24
Love & Wish,사랑,"['Romance', 'Youth', 'Drama']",Daum Kakao TV,,['Han Yoon Sun'],2021-12-24,2021-12-25,"Friday, Saturday",2021,9,"Son Da Eun, 17, is the youngest of three sisters. From an early age, she and her sisters would spend their time reading romance-themed comics and novels, and Son Da Eun would spend her nights dreaming of finding true love. Her family moves to the South Korean capital, Seoul, and she finds herself living next door to a handsome high schooler named Kim Seung Hyu. He is charming and attractive, and she feels that perhaps he might be her first true love.When she discovers that Kim Seung Hyu is actually her new classmate at the high school, she has just transferred to, and everything seems to be falling into place. Surely, she thinks, this is fate, and nothing could stand in the way of love now. But as she starts to get to know him better and settles into life at her new school, she realizes that he is holding something back from her: He has been the victim of cruel and vindictive school bullying that has left him emotionally vulnerable. Can love conquer all, or will the demons of his past derail their fledgling romance?(Source: Viki)~~ Adapted from the webtoon series ""Love & Wish"" (러브 앤 위시) written and illustrated by Inae.","['Choi Ye Bin', 'Choi Young Jae', 'Yoo Jae Sang']",34,244557600,False,"1,297,319건",2022-02-22
The Silent Sea,고요의 바다,"['Thriller', 'Mystery', 'Horror', 'Sci-Fi']",Netflix,['Choi Hang Yong'],['Park Eun Kyo'],2021-12-24,2021-12-24,Friday,2021,8,"Set in the future, when the planet suffers from a lack of water and food caused by desertification. Yoon Jae is a soldier for the space agency. He is selected for a team, including Ji An, to travel to the moon. A scientist joins the mission to recover mysterious samples from an abandoned lunar space station, where an accident killed everyone including her sister.(Source: AsianWiki; Netflix) ","['Lee Joon', 'Bae Doo Na', 'Gong Yoo']",31,19885500,False,"7,574건",2022-02-22
Tinted With You,물들여,"['Historical', 'Romance', 'Fantasy']",Viki,['Ra Ha Na'],,2021-12-23,2022-01-14,"Thursday, Friday",2021,8,"In Korea’s feudal past, deposed Crown Prince Lee Heon was forced into exile when his cruel older brother usurped the throne. His sibling plans to permanently secure his position, leaving Lee Heon fearing for his life at every turn.  Lee Heon has one ally, Geum, his loyal, kind-hearted guard. Flash forward to the modern-day, where art is high school student Eun Ho’s entire world. He accepts a commission to complete an unfinished canvas despite its mysterious vibe. Inexplicably drawn into the distant past, he meets Lee Heon, with whom he forms a close and romantic bond. Becoming restless, the acting king desires to murder the exiled Crown Prince. Eun Ho now understands that he may be Lee Heon’s best – if not sole – chance of survival.(Source: Viki)","['Jun', 'Yoo Hyun Woo']",20,790900,False,"1,619건",2022-02-21
Moonshine,꽃 피면 달 생각하고,"['Action', 'Historical', 'Comedy', 'Romance']",KBS2,['Hwang In Hyuk'],['Kim Joo Hee'],2021-12-20,2022-02-22,"Monday, Tuesday",2021,16,"An extended period of prohibition in the Joseon era proved that the restriction of alcohol was no match for human desire.Laws against imbibing, buying or making alcohol created different challenges for these inhabitants: Inspector Nam Young from The Office of the Inspector-General who left his hometown to achieve fame in Hanyang and restore his family status; Kang Ro Seo, the aristocratic but impoverished lady who makes moonshine to reduce her debt, allowing her to continue buying her mother’s medication and her brother’s books; and even Crown Prince Lee Pyo, who was prone to scaling the palace walls in search of a tipple. This trio has a fateful encounter leading to the discovery of a hidden stash of alcohol. Revealing this secret would only result in certain death.","['Kang Mi Na', 'Lee Hye Ri', 'Yoo Seung Ho', 'Byeon Woo Seok']",26,8750000,False,"1,497건",2022-02-18
The One and Only,원 & 온리,"['Mystery', 'Romance', 'Drama', 'Melodrama']",jTBC,['Oh Hyun Jong'],['Moon Jung Min'],2021-12-20,2022-02-08,"Monday, Tuesday",2021,16,"When Pyo In Sook was a child, her parents abandoned her with her grandmother who raised her. Her life has never been easy or comfortable. She now works at a public bathhouse scrubbing customer's bodies. Her defense mechanism is to not express her feelings to other people. One day, a doctor tells her she has a terminal illness and will die soon. Even coming face-to-face with her own mortality, In Sook remains emotionless. She begins receiving care at a hospice and meets two women with lives very different from her own: Seong Mi Do, a social media influencer, and Kang Se Yeon, an ordinary housewife who feels lonely and taken for granted. One rainy day, In Sook meets Min Woo Cheon, a contract killer who works at a private detective office. Woo Cheon's cool exterior masks a deep sadness. Each of the three women decides to end the life of one person who has done them wrong before they die, but in becoming friends, their anger begins to subside. When In Sook and Woo Cheon develop feelings for each other, though, she begins to rethink her plans.(Source: VIKI, AsianWiki)","['Ahn Eun Jin', 'Joy', 'Kim Kyung Nam', 'Kang Ye Won']",26,41416500,False,"285,245건",2022-02-18
Bulgasal: Immortal Souls,불가살,"['Thriller', 'Mystery', 'Drama', 'Fantasy']",Netflix tvN,['Jang Young Woo'],"['Seo Jae Won', 'Kwon So Ra']",2021-12-18,2022-02-06,"Saturday, Sunday",2021,16,"The series tells the story of a man-turned-immortal, Bulgasal, who wants revenge from a woman with a mysterious past and present, who he deems responsible for his immortality and miseries from the past 600 years, hoping to free himself from his curse. (Source: IMDb) ","['Gong Seung Yeon', 'Lee Jin Wook', 'Lee Joon', 'Kwon Na Ra']",32,12086800,False,"3,943건",2022-02-16
Snowdrop,설강화,"['Romance', 'Drama', 'Melodrama', 'Political']",jTBC,['Jo Hyun Taek'],['Yoo Hyun Mi'],2021-12-18,2022-01-30,"Saturday, Sunday",2021,16,"In 1987, a bloody man jumps into a women’s university dormitory in Seoul. Young Ro, a female university student who falls in love with him at first sight on a group blind date, takes care of him despite the strict surveillance and dangerous situation. However, Young Ro is shocked to learn his secret. Despite heartbreakingly watching over his first love Young Ro, Soo Ho has no choice but to move according to the command in order to save his teammates and to go back to his home country where his sibling awaits. Young Ro rejects the will of her father and works hand in hand with Soo Ho to save her beloved man and her friends. What will happen to their fate?(Source: Disney+)~~ Adapted from the handwritten journal of a North Korean defector.","['Jung Hae In', 'Yoo In Na', 'Jang Seung Jo', 'Kim Ji Soo', 'Yoon Se Ah', 'Kim Hye Yoon']",32,41257000,False,"5,338건",2022-02-16
I Want to Live an Easy Life,대충 살고 싶습니다,"['Comedy', 'Sitcom']",SBS,['Go Hyun Gook'],['Oh Ji Hyun'],2021-12-17,2021-12-17,Friday,2021,5,"The story of four candid and brazen girlfriends in their 30s who want to be rich but do not like to work hard, are comfortable with being alone but do not like being lonely, and want to live roughly but cannot live roughly.(Source: Korean = Naver || Translation = MyDramaList)~~ Adapted from the webtoon ""Daechung Salgo Sipseubnida"" (대충 살고 싶습니다) by Hyun Lee (현이씨). ","['Go Eun Ah', 'Heo Young Ji', 'Lee Mi So', 'Son Soo Ah']",20,5360400,False,647건,2022-02-15
Pumpkin Time,펌킨타임,"['Romance', 'Youth', 'Sports', 'Fantasy']",Daum Kakao TV,['Kang Min Gu'],,2021-12-17,2021-12-18,"Friday, Saturday",2021,10,"Growing up, Kang Tae Joo and Shin Hae Won were practically inseparable. The best of friends, the two elementary school boys shared a fanatic love of baseball and enjoyed nothing more than spending their time utterly immersed in the game. Though Tae Joo and Hae Won believed they would be together forever, fate decided it had other plans. After his parents announce he is moving to the United States, Tae Joo has no choice but to say goodbye to Hae Won. Despondent over being forced to leave his best friend behind, Tae Joo is determined to someday see Hae Won again. As the years pass, Tae Joo never gives up hope of being reunited with his childhood friend. As suddenly as he once had to say goodbye, Tae Joo now finds himself back in Korea where he wastes no time in searching for his best friend. Tracking Hae Won down, Tae Joo is shocked beyond words to discover that his childhood best friend is now a high school girl! Will this unexpected switch change their relationship forever?(Source: Viki)~~ Adapted from the webtoon ""Pumpkin Time"" (펌킨타임) by Gaedarae (개다래).","['Lee Soo Min', 'Shin Hyun Seung']",19,14051800,False,322건,2022-02-15
Bad and Crazy,배드 앤 크레이지,"['Action', 'Thriller', 'Mystery', 'Comedy']",iQiyi tvN,['Yoo Seon Dong'],['Kim Sae Bom'],2021-12-17,2022-01-28,"Friday, Saturday",2021,12,"Soo Yeol, the competent ‘bad boy’ on the police squad, regains his humanity after meeting K, the righteous but ‘crazy’ guy. Despite having a mere high school diploma, Soo Yeol is an accomplished member of the Anti Corruption Unit. He’s ambitious, so he chooses pet cases of his superiors and produces their desired outcomes. Often that means turning a blind eye to injustice, especially if it stands in the way of those preferred results. With promotion time looming and without anyone’s backing, Soo Yeol fears exclusion once again. Congressman Do Yoo Gon had given him some hope of advancement but dashed when the righteous but crazy K entered his life. What can go wrong when the bad boy and the crazy guy join forces?(Source: iQiyi)","['Lee Dong Wook', 'Cha Hak Yeon', 'Wi Ha Joon', 'Han Ji Eun']",32,12158000,False,"1,456건",2022-02-15
The World of My 17 Season 2,소녀의 세계 시즌2,"['Youth', 'Drama']",Naver TV Cast vLive,,,2021-12-15,2022-01-14,"Wednesday, Friday",2021,10,"""18 years old, will Na Ri have her first love?"" First love, dream, friendship. The world of the girls' first 18, a sweet and sour story.(Source: Naver) ","['Lee Won Jung', 'Choi Ye Na', 'Yoo Sun Ho', 'Jihan', 'Han Chae Kyung']",26,49630000,False,430건,2022-02-13
Love Twist,사랑의 꽈배기,"['Family', 'Melodrama']",KBS2,['Kim Won Yong'],['Lee Eun Joo'],2021-12-13,2022-05-20,"Monday, Tuesday, Wednesday, Thursday, Friday",2021,103,Witness the sweet changes of heart for three inter-generational families over the love between a very special couple. (Source: Korean = Naver || Translation = MyDramaList) ,"['Ham Eun Jung', 'Kim Jin Yeop', 'Hwang Shin Hye', 'Yoon Da Hoon', 'Shim Hye Jin', 'Son Sung Yoon']",31,5396200,False,"3,191건",2022-02-11
"The King of Tears, Lee Bang Won",태종 이방원,"['Thriller', 'Historical', 'Drama', 'Political']",KBS1,['Kim Hyung Il'],['Lee Jung Woo'],2021-12-11,2022-05-01,"Saturday, Sunday",2021,32,"A work that sheds new light on the figure of Lee Bang Won, a leader who took the lead in the founding of the nation.(Source: Naver) ","['Joo Sang Wook', 'Ye Ji Won', 'Kim Yeong Cheol', 'Park Jin Hee']",26,4925600,False,"3,009건",2022-02-09
Uncle,엉클,"['Music', 'Comedy', 'Drama']",TV Chosun Viki,"['Ji Young Soo', 'Seong Do Joon']",['Park Ji Sook'],2021-12-11,2022-01-30,"Saturday, Sunday",2021,16,"Joon Hyuk was a musician whose life has hit rock bottom after he had been scammed by people he trusted. He had ended his relationship with his older sister Joon Hee because of it. One day, suddenly, he receives a call from Joon Hee asking him to take care of her son, Min Joon.After 12 years of strife, Joon Hee divorced her physically abusive husband, at the same time ridding herself of her equally nasty mother-in-law. Joon Hee moves into an inexpensive apartment, keeping a low profile lest her former family finds her. The Royal State is a luxury apartment complex that has some noteworthy residents. Hye Ryung is the much-respected president of the Mothers’ Committee. Committee member Yoo Ra very much admires her.  Single father Kyung Il is a warm and pleasant man who continues to raise his daughter since the passing of his wife. (Source: AsianWiki)~~ Remake of the British TV series ""Uncle"" [2014].","['Oh Jung Se', 'Jeon Hye Jin', 'Lee Sang Woo', 'Park Sun Young', 'Lee Kyung Hoon', 'Lee Shi Won']",32,28308500,False,"3,330건",2022-02-09
A DeadbEAT's Meal,백수세끼,"['Food', 'Romance', 'Life']",Naver TV Cast TVING,['Kim Joon Mo'],['Jeon Seon Young'],2021-12-10,2022-01-14,Friday,2021,12,"Jae Ho tries to find a job, but it's not easy for him. He supports himself with working part-time jobs. Recently, his girlfriend Soo Jung dumped him after dating for 7 years. Despite his difficulties, Jae Ho's main concern is ""What should I eat today?""After working day and night for several years at an advertising company, Woon Ho almost died due to overworking. She quit her job after that. Now, it's been 3 months since she has become voluntarily unemployed. She follows her simple belief of ""Let's just think about eating delicious food.""(Source: AsianWiki)","['Go Won Hee', 'Ha Seok Jin', 'Im Hyun Joo']",26,10395200,False,577건,2022-02-08
Midnight Thriller,미드나잇 스릴러,"['Thriller', 'Drama']",Genie TV,"['Yoo Young Sun', 'Park Sun Jae', 'Lim Kyeong Taek']",,2021-12-09,2021-12-09,Thursday,2021,3,"An anthology about 'disappearance'.> Story 1 : ""Friendly Police"" (친절한 경찰) [Director: Lim Kyung Taek (임경택)]The story is about Ah Rin, a novelist in her 20s who moves into a new neighborhood where she meets police officer Kim, the only one who believes in what she says as she's been sensing strange things happening in her house.> Story 2 : ""Follower"" (팔로워) [Director: Park Seon Jae (박선재)]The story of Yeon Hee, who appears to be having a happily married life but is actually experiencing domestic violence. Little by little, Yeon Hee begins to fall into danger when posts suggesting self-harm are posted on the SNS account that impersonates hers.> Story 3 : ""Supermodel"" (수퍼모델) [Director: Yoo Young Sun (유영선)]The story of Ji Eun, a supermodel who instantly becomes a murder suspect. When she receives a phone call, she leaves the living room and comes back to a brutally dead boyfriend. Ji Eun is trapped after following a mysterious voice and abandoning the dead body in a bunker somewhere in the forest.(Source: HanCinema)","['Cha Ye Ryun', 'Kim Yoon Hye', 'Jung Jin Woon', 'Jo Han Sun', 'Kim Jung Hwa', 'Lee Shi Ah']",20,13257100,False,126건,2022-02-07
Artificial City,공작도시,"['Thriller', 'Mystery', 'Psychological', 'Drama']",jTBC,['Jun Chang Geun'],['Son Se Dong'],2021-12-08,2022-02-10,"Wednesday, Thursday",2021,20,"Takes place against the backdrop of an art museum that belongs to Sung Jin Group, a major conglomerate that holds the reins of the political and financial worlds in South Korea. It is a psychological mystery thriller about the things that disappear when humans become greedy and ambitious for power.Yoon Jae Hee is the head of the Sung Jin Cultural Foundation and in charge of operations at “Space Jin,” the art museum owned by Sung Jin Group. She is also the second daughter-in-law of the family that controls Sung Jin Group. Believing that poverty is corrosive to love and that a stable income leads to a steady life, she chose to throw away her long-time lover and entered into a marriage of convenience with Jung Joon Hyuk, an illegitimate son of Sung Jin Group. In order to make her husband the nation’s president, she teams up with the future Public Prosecutor General and goes to war against Sung Jin Group.Jung Joon Hyuk is Yoon Jae Hee’s husband. Although he is a popular anchorman with his own fan club, he hides an inferiority complex over being labeled “the illegitimate son of Sung Jin Group” for his whole life. He laughs at both ambitious people and those who pretend to have no ambition even as he waits for the day when he can seize the reins of power.","['Lee Hak Joo', 'Park Soo Ae', 'Kim Kang Woo', 'Kim Mi Sook', 'Lee Yi Dam']",26,15259200,False,"3,535건",2022-02-06
Our Beloved Summer,그해 우리는,"['Romance', 'Life', 'Youth', 'Drama']",Netflix SBS,['Kim Yoon Jin'],['Lee Na Eun'],2021-12-06,2022-01-25,"Monday, Tuesday",2021,16,"Years after filming a viral documentary in high school, two bickering ex-lovers get pulled back in front of the camera — and into each other's lives. Choi Woong seems naive and a free-spirited man, but he wants to have something for the first time in his life. For that, he shows what he holds in his mind. Kook Yeon Soo aimed to become the top student at her school, but she is now an adult who lives fiercely, adapting to her reality.(Source: Netflix, AsianWiki)~~ Inspired by the webtoon “Our Beloved Summer” (그 해 우리는 - 초여름이 좋아!) by Lee Naeun (이나은) and Han Kyoung Chal (한경찰) which is a prequel story that depicts their high school days 10 years before drama timeline. It is a different perspective from their past including how they first met, grew on each other and fell in love with each other. The webtoon has a story that doesn't show up in drama sequel.","['Roh Jeong Eui', 'Choi  Woo Shik', 'Kim Da Mi', 'Kim Sung Cheol']",32,52530000,False,"18,237건",2022-02-04
Heart Way,하트웨이,"['Romance', 'Youth']",Naver TV Cast,,,2021-11-30,2021-12-23,Tuesday,2021,8,"Si Woo, the female lead, suddenly gains superpowers one day: ‘if you share the Subway menu, you can hear the person’s heart’. The title of the work was created by combining the English word ‘Hear’ and Subway’s ‘Way’ to contain the same content.(Source: Dramalist.org) ","['Lee Jong Hyuk', 'Ji Won', 'Kim Da Hye', 'Kim Hyun Jae']",20,9776900,False,"1,217건",2022-01-29
Mr. Lee,미스터LEE,"['Mystery', 'Romance']",Daum Kakao TV,,,2021-11-29,2021-12-27,Monday,2021,5,"Six friends gathered at Eunjoo and Kyungho's engagement party. In a strange vibe flowing...the groom-to-be dies. And, a detective 'Mr. LEE' who doesn't look like a detective, appears. All five are suspects. I can watch the CCTV footage of the crime scene?!(Source: tv.kakao) ","['Shin Yeon Suh', 'Im Hyun Joo', 'Park Geon Il']",28,11140900,False,157건,2022-01-28
