,daily_views,director_drama_num,screenwriter_drama_num,tot_eps,duration,season_Spring,season_Summer,season_Winter,week_of_weekend,org_terrestrial_TV,org_cable_TV,org_OTT,man_cnt,woman_cnt,play_actor,child_actor,singer_actor,drama_cnt_naver,Romance,Drama,Comedy,Mystery,Thriller,Life,Fantasy,Action,Youth,Business,Family,Historical,Supernatural,Law,Political,Psychological,Crime,Medical,etc
128,132743,8,2,12,70,1,0,0,0,0,0,2,2,1,0,0,0,27,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
130,110814,4,1,12,38,1,0,0,0,0,1,1,1,1,0,0,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,111961,1,1,6,20,1,0,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
132,239718,1,1,12,45,1,0,0,0,0,0,1,1,1,0,0,0,14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,41661,4,4,6,70,1,0,0,0,0,0,1,2,1,1,0,0,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
135,43482,4,3,16,72,1,0,0,0,0,0,2,3,2,0,1,2,31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,32639,5,4,16,66,1,0,0,0,1,0,0,2,1,0,0,1,28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
137,84384,1,6,6,40,1,0,0,0,0,0,1,1,2,1,1,0,17,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
138,94015,1,5,8,65,1,0,0,0,0,1,0,1,2,0,0,0,17,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,17969,7,2,16,73,1,0,0,1,1,1,0,2,1,0,0,0,24,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,98381,5,1,16,60,1,0,0,1,0,1,0,3,3,0,1,2,19,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,14661,3,2,16,70,1,0,0,0,1,0,0,2,3,0,0,1,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
144,123431,4,1,16,65,1,0,0,1,1,1,0,3,1,1,0,0,26,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
145,137075,2,1,16,70,1,0,0,0,0,1,1,0,5,0,0,0,20,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,23545,1,5,50,70,1,0,0,1,1,0,0,3,3,0,0,0,15,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
147,238589,3,1,16,60,1,0,0,1,1,0,1,3,1,0,0,1,20,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
148,112289,5,1,12,55,1,0,0,0,0,0,1,2,1,0,0,1,19,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,35636,3,3,8,60,1,0,0,1,0,1,0,3,0,0,0,0,17,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
150,79422,4,1,14,60,1,0,0,0,0,1,0,0,3,0,0,0,23,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
